Text,label
কমেন্ট  না  করা  পারলাম  না  এই  সব  মেয়েদের জন্মের  কোনো   ঠিক  নাই   ছোট  লোক  এর  বাচ্চা,2
আমার পরিবারেও আছে একটা ডাইনি,2
সব মেয়েরা খারাপ নয়। আর যদি খারাপ হয় সেটা শুধু ছেলেদের জন্য খারাপ হয়,1
আর জাই হোক জিন কখনো বেইমানি করে না যেমন মা তেমনি তার মেয়ে অকৃতজ্ঞ,1
সাবাস ইশানি আর তোর মা খানকি কে থুথু ছিঃ ছিঃ।,2
এমন মেয়েদের আগে বিচার হওয়া উচিত। বিয়ের আগে পতিতার মত কিভাবে পর পুরুষের কাচে কেন শরীর বিলায়।,2
তোর আম্মিকে চুদি সালা,2
নারীর মর্যাদা শুধু তার গোপনাঙ্গের,1
তোর মা প্রস্টিটিউশন করতে গিয়া তোরে জন্ম দিসে বুঝাই যায়,2
তোর মার বোদার ধ্বংস হবে। হালা তোর মার ভুদার বিচার করবে।,2
মুন্নি শাহা হিজরা,1
মুন্নি সাহার মতো বাজে আর থার্ড ক্লাস মাহিলার টকশোতে হুজুরদের গিয়ে অযথা সময় নষ্ট।,1
ছাগল মর্কা মইয়াডার সঙ্গে না বসলেই ভলো হতো,1
হুজুর আপনারা কি বেকুব বনে গেলেন? এত গুরুত্বপুর্ণ কথা গুলা পতিতার মাধ্যমে কেন বলা হচ্চে।আপনারা কেন পতিতা মার্কা টকশোতে যান? যে নারি কে দেখলে মনেহয় বাইশ্যা।সে আবার ধর্ম কর্ম শিখাচ্চে।,2
উলঙ্গ বেপর্দা নারী মুন্নি সাহার কোন অধিকার নেই এরকম আলেমদের সামনে কথা বলার বেয়াদবি করা তো দূরে থাক,2
মুন্নি শাহা হিজরা শাহা,1
একটা বাজে মেয়ের সাথে টকশো করার যৌক্তিকতা খুঁজে পাইনা,1
ও কি পুরুষ না মহিলা এটা ভেবে মাঝেমাঝে কনফিউজড হয়ে যায়।,1
নাস্তিক মুন্নি সাহা,1
তোদের  মা  বোনরা  এরকম  চরিত্রহীন  বলে  কি  সব  নারীকেই   সেরকম ভাবস তোরা ?,1
মাদারচোদ  রেন্ডি  শালী তোর কোন ঠিকানা আছে?,2
এসব মাগিদের কেনা জুতা দিয়ে মারা উচিত চোখে মুখে,2
"খানকি মাগী সময় থাকতে ভালো হ,, তা না হলে তোর ভবিষ্যৎ অনেক কপাল খারাপ",1
বাজে মেয়ে। হিন্দু বাঙালি ছেলে বিয়ে করেনি,1
বালের  মেয়েটার  বালের  মা  বাপ  .. দেখে  গা  জ্বলে গেছে  আমার,1
যেমন  মা  তেমন  তার  মেয়ে এদের মতো মা মেয়ের জন্য দুনিয়া খারাপ,2
মাগির মুখে মন চায় মুতে দি ফকিন্নি একটা,2
সুখের সংসারে আগুন লাগাই মেয়েরাই লোভে।,2
এদের  মতো ছেলেদের  গলায়  পা  দিয়ে  অস্বতি  দিয়ে  কাটা  উচিত  যত  সব  জানোয়ারের  দল,2
"ঘমটার নীচে ক্ষ্যামটা নাচ, এই নোংরা মহিলা কে সেলিব্রিটি মানায় না	",1
"মাদারচোদ  ছেলে আর  খানকি  মাগি  মেয়ে  , তোরা  জীবনে  পৃথিবীতে  আসবি  না  ... কলঙ্ক  ছেলে  মেয়ে",2
মা  মেয়ে সবাই  একইরকম  মেয়েরা আসলেই লোভী,2
মহিলা টার খুব অহংকার ওরে রাস্তায় ফেলে রাখায় ভালো,1
ওহ গড  আর  থাকে  তুমি  এই  ওয়ার্ল্ড  এর  সব  লেডিকে  ভ্যানিস   করে  দাও তাহলে  আর  কোনো  ক্রাইম  থাকবে  না,2
পরীমনি  গণধর্ষণ  করা  উচিত রেন্ডির বাচ্চা,2
সুন্দরী  হিন্দু  মেয়ে  দেখলে  মুসলমানদেরদের  বাড়া  দাঁড়িয়ে  যাই . তাই  তারা  ধর্ষণ  করবেই .,2
তোর মায়েরে কুত্তায় খেলছে সেই খেলায় তোর জন্ম হয়েছে,2
তাসলিমা নাসরিন বাংলাদেশের কুলা অঙ্গার,1
আর পর্ন স্টার হচ্ছে তোর মা. আর নারী খোর তোর বাপ,2
সবাই কে কী তোর মা বাবা আর কুত্তা লীগ এর মত মনে করিস কেন?,2
তদের মতো কুলাঙ্গার দের দরকার নাই এদেশে,1
তোমার নাম এমডি জাহাঙ্গির তার মানে মাগীর দালাল জাহাঙ্গীর।,2
তোমাদের মতো কুলাংগার দের থেকে এর চেয়ে ভালো কথা আশা করা যায় না।,1
বতমানে মেয়েদের ফাদে পা দিলেই বিপদ,1
ছেলেদেরকে সরাসরি ফাঁসিতে ঝুলিয়ে মেরে ফেলা উচিত যতক্ষণ পর্যন্ত না মারা যায় ততক্ষণ পর্যন্ত ফাঁসিতে ঝুলিয়ে রাখা উচিত,2
শুধু পুরুষ নিধন করলে হবেনা। মহিলার দোষে ধর্ষণ হয়েছে কিনা তা খতিয়ে দেখা উচিত।ধর্ষনের কারন যদি মেয়ে হয় তবে তাকেও ফাঁসি দিতে হবে।।,2
বাংলাদেশর নতুন মহিলাজাম্বু পাওয়া গেছে  শামিমা নূর পাপিয়া,1
মানুষ এখন হিংস্র জানোয়ার,2
"শামিমা নূর পাপিয়া আমি প্রথমে ভাবছি, দেওয়ানবাগীর বউ, পরে দেহি জলহস্তী দৈত্য",1
নারীরাই নারীর জন্য ক্ষতিকর ৷ শাশুড়ি ননদের হাতে বৌউ নির্যাতন ৷ তারাও তো নারী ৷ কিন্তু দোষ আসে ছেলেদের ৷ তাই নরীদের আগে পরিবর্তন হতে হবে ৷,1
ছেলেরা পাপ করলে হয় পাপন . আর মেয়েরা পাপ করলে হয় পাপিয়া।,1
সমাজে মিন্নির মতো আরও অনেক মেয়ে আছে যারা নারী নাম এর কলংক,1
এইটা মেয়ে না! ডায়নি,1
"কত এমপি-মন্ত্রী যে ওরে----- ছি ছি ছি, নারীর জাতির কলঙ্ক।",1
হিন্দুর মাকে চুদ,2
এর জন্যই তর কপালে স্বামী নাই।।।। দল ছাড়া গাভী যেমন তুইও তেমন,2
হুম নারী বাদী হলেই তো তোমার জন্য ভাল তুমিও মাঝে মধ্যে বাহিরে খাবা নারী বাদীও মাঝে মধ্যে বাহিরে খাবে,2
পুরুষতন্ত্র ঝেটিয়ে বিদায় করো,2
বিয়ের দরকার কি। রাস্তায় শুয়ে থাকলেই তো হয়। এ-র জন্ম নিশ্চয়ই কোন নিকৃষ্ট স্হানে।,2
এ মেয়ের পেটে যেন কোন সন্তান না হয়। এ পেটে যে সন্তান হবে সেসন্তান হবে মানবজাতির জন্য অভিশাপ। আল্লাহ তুমি বাংলাদেশ কে রক্ষা কর।,1
চুনার ডিব্বার মত শরীরের মেয়েদের আবার হবু স্বামী হয় নাকি ? হোটেল রুমে বিছানার সঙ্গী হয় শুনেছি অবশ্য ।,2
এ হচ্ছে সমস্ত বাঙ্গালী নারী জাতির কলঙ্ক নারী ।।,1
ওর স্বামী লাগে নাকি,2
রাস্তার মেয়েদের স্বামীর অভাব হয় না....কয় দিন খেয়ে টিসুর মতে পেলে দিবে।,1
এই মেয়ে নিচ তলা ভারা দিয়ে ওপর তলা বড় করেছে।,2
এরকম মেয়ে দের কারণে দেশের সব মানুষ খারাপ হবে,2
এই ধরনের মেয়ে যে বিয়ে করবে তার জীবনটা নষ্ট এই মেয়েদের সরম লজ্জা বলতে কিছুই নেই.এই মেয়ে ইসলাম ধর্ম অনুযায়ী থাকে না।,1
নাইজেরিয়ার ঘোড়া লাগবে ওকে ঠান্ডা করতে। বাংলাদেশী অাবাল দিয়ে ওর পোষাবে না।,2
এমন মেয়েদের কে আওয়ামীলীগ ছাড়া আর কেউ বিবাহ করবেনা। কারণ অন্য মানুষের কিছুটা হলেও রুচি আছে।,2
"ভাইয়েরা একটা কথা বলবেন কেও আমাকে,এটাকি কনো মে মানুস নাকি হিজরা একটু ভালোভাবে চেয়ে দেখুন এটা হিজরা।",2
"বাজারে দুধ বিক্রি করার জন্য তাকে বিয়ে করা যেতে পারে,,,।",2
এই মহিলা টাকে জাস্ট দেখতে পারতেছিনা।।আমি বুঝতেছিনা কেন আমাদের দেশের মিডিয়া গুলো ওকে নিয়ে এত নিউজ করতেছে।।ওকে তো দেশ থেকে বের করে দেওয়া উচিত।,1
আসলে সত্যি কথা বলতে এদের মতো মেয়েকে দেশ থেকে বের করে দিয় দরকার,1
রাস্তার মেয়েদের সমমান আছে বাট তোর তো তাও নেই তোকে নিয়ে লিখে সময় নস্ট করার সময় নেই,1
যে এই মেয়েকে বিয়ে করবে সেই তো দোজোগ বাসি হতে পারে কারন এই মেয়ের কোনো ইজোত সমান নেই ফালতো মেয়ে কেউ তাকে বিয়ে করবেন না,1
এই মেয়েকে যে বিয়ে করবে সেই ছেলেটাও জাহান্নামি হবে,2
"ছি এইসমস্ত মেয়েরা সমাজে মুখ দেখায় কিভাবে , জন্মের দোষ ।",2
ওর মত মেয়ের থেকে পাড়ার নটি ভালো রাস্তার কুত্তা ভালো,2
একটা বাজে মেয়ে তাকে নাকি বিয়ে করবে একজন সাবেক মন্ত্রী?,1
যেহেতু নারী তাই একটু দোষ দিয়ে দিলাম আরকি..,2
অাজকাল মেয়ে দের পরকীয়া জন্য পুরুষ জাতির বেহাল অবস্থা,1
এখনকার মেয়েদের অবস্থা খুব খারাপ কিছু বললেই বলে নারি নির্যাতন কেত দিবে,1
তোমার মাগীরা অন্যের সাথে চুদবা আবার হুমকি মারাবা ..সবাই নারী নির্যাতন নিয়ে ব্যস্ত আর পুরুষ র যে নির্যাতন হয় সেটা তো কেও বলে না ...,2
পরকিয়া করা নারীদের শাস্তি এমনই হওয়া উচিত।,1
"এই হত্যা যৌতুকের জন্য হয়নাই,মিথ্যা সংবাদ প্রচার করছেন কেন???মেয়েটা পরকিয়া করত",2
স্বামীর কারনে প্রবাসে | আল্লাহ তুমি বিচার কইরো চারটা নারির জিবন নষ্ট করলো আমার স্বামী,1
নিশ্চয় মহিলাটার স্বভাব দোষ ছিল।,1
ভূয়া খবর। স্ত্রী-কে যৌতুক না দেওয়ার জন্য হত্যা করে নি করেছিলো ঐ মেয়ের চরিত্রে দোষ ছিলো বলে। এবং আমার মতে এটাই ভালো করছে।,1
এখন তো মেয়েরা ছেলেদের কাছ থেকে যৌতুক নেয়,1
মেয়ের অবসই বড় কোন ভুল ছিলো,1
"কাপুরুষ কোথাকার নিজে ইনকাম করতে পারিস না, আবার যৌতুকের জন্য বউকে হত্যা, এখন তুর নিজের জীবনই শেষ,,",1
"মেয়েটা খারাপ তাকো ছেড়ে দেও, ডিভোর্স দিলেই তো ঝামেলা শেষ।",1
নিচ্চয় মেয়েটা খুব বেশি বেয়াদব ছিলো | ওকে জ্বালা যন্ত্রণা করতো,2
কুলাংগার মা কুলাংগার ছেলে জন্ম দিছে,2
বউয়ের চরিত্র ভালো না,2
মেয়েপক্ষ মিথ্যা কথা বলছে।বাস্তবতা পুরা ভিন্ন।মেয়েটি পরকিয়াতে লিপ্ত থাকতো।,1
"নারীর অপরাধ কেউ দেখে না তারা ১৩ বছরে প্রেম করে কুমারিত্ব নষ্ট করে সেই মেয়ে আবার প্রেমিকার জন্য মা বাবার সাথে বাজে ব্যবহার করে, সেই মেয়ে আবার বিয়ের পরে পরকীয়া করে, সেই মেয়ে আবার ছেলের পরিবারের সাথে বাজে ব্যবহার করে, এসব কি অপরাধ নয় ?",2
"স্ত্রীদের পরোকিয়ার কারনেই বেশী হয়ে থাকে কলহ,",1
"টাকার জন্য কুপিয়ে মারতে পারে না, পরকিয়া করে দীর্ঘ দিনের ১০০%।",1
তার বউ পরকিয়ায় লিপ্ত ছিল,2
মেয়েটার হয় তো কোনো বড় অপোরাধ আছে তাই মারছে,1
আরো সাত বারো পুলার সাথে পরকীয়া করবে কেন?,2
বাংলাদেশে স্বামী নির্যাতন আর পরকীয়া কারী নারীর বিচার না করার কারণে টুটুলরা আজ অপরাধী।,2
সব দোষ পুরুষের,2
মেয়েটা অর ফ্যামিলিকে ব্যাকমেইল করে।,2
এজন্যই তো ওরা মেয়েদের চাকুরী দেবার জন্য ব্যস্ত থাকে। অথচ ছেলেরা এম এ পাশ করেও চাকুরী পায় না।,1
এসব নোংরা মহিলার জন্য কোটি মহিলার অসম্মান হয়।,1
এরকম মেয়ে আমার পাল্লায় পড়লে গাঁড় ফাটিয়ে দিতাম,2
তোরা তো মা বোন বউ দিয়ে সারা দুনিয়ায় তো ব্যবসা করিস,2
পরি তুমি সেক্স মুভি করলে হলে অনেক লোক পাবে,2
তোর  গুদে  বাড়া  শালী  খানকি  মাগি মাগীরজাত,2
তার গুদে  লাঠি  ঘাড়ে লাঠি  বুড়ি  চুদি  খানকি,2
কর্পোরেট নারীরা কী পতিতা-দের থেকে কম?? ওরা তো লাগায় ওদের বসকে,2
চোদা খা খানকি খারাপ অপু পোলা দেখলে এইগুলা করে তোদের মতো মাগীরা,2
এই শালী হলো বেশ্যা  মেয়ে তাই এই রকম ভিডিও বানাচ্ছে,2
পরি মনি একজন সেরা পতিতা বলা যায়।,2
খানকি মাগি ও মাহি মাগী একটা পতিতা মাগি তাদের চরিত্র এতোটা খারাপ জা বলার মতো নয়,1
মা  আর  মেয়ে  দুটোই রেন্ডি ক্লাস  ওয়ান  রেন্ডি,2
এগুলো হচ্ছে সমাজের অলংকৃত নারী        এইগুলা মাগীবাজার এ বেছে দেওয়া উচিত,1
তোকে  সামনে  পেলে  শালী  চুদে তোর  গাড় ফাটিয়ে  দিবো  রেন্ডি  শালী,2
মা বাবার জন্য এইসব হয়েছে ওই শালিরা মেয়েকে মানুষ করতে পারলো না,2
তোকে চুদবো যে শালি শালি ভিখারী,2
এই মাগির বেটি তুই একটা খাস  মাগি অহংকারী,2
ওই বৌকে রেনডী খানাতে বেচে দেওয়া উচিত,1
এই মেয়ের কী বাবা মা নেই ছি ছি,1
দেখ ছেলেমেয়েদের দল না এসব পাগল ছাগলের দল,1
তুই হিজরা নাকি,2
এগুরা জারজসন্তান,2
হয়তো শালা মেয়েবাজ মাইয়া ছাড়া কিছু বুঝেনা,1
তুই মাইয়া হইয়া জন্মেছিস পোড়া কপাল আনতে,2
এখানে কোন মেয়েদের জায়গা নেই ভাই এটা একদম নিষিদ্ধ না মানলে মাইর খাবেন,2
মেয়েদের এত পড়ালেখা করে আর কি লাভ হুদাই টাকা নষ্ট,2
এই মহিলা কে গরম তেলের বিতরে চুবানো উচিত,1
এই মহিলার ফাসি চাই ফাসি চাই,2
"নষ্ট মেয়ে কেমন হবে আর,,,আললাহ ওরে যেন হেদায়েত করে,,",1
খাপার মেয়েকে পাশি দেয়ার ওচিত,2
হে আল্লাহ্ এদের মতো মেয়েদের জন্য নারী জাতির কলংক ছি,1
শয়তান কি সব মেয়েদের উপরই বর করে?,2
"তুই তো কনডম দূর্ঘটনায় জন্ম, তাইতো এমন,জারত কুলাংগার",2
"তুই যে ১ মন দুধের মধ্যে সেই চেনা, গোমূত্র খোর, সেটা এখানের সবাই জানে,কারন তোর জন্মের কোন ঠিক নেই,তর মতো বিধর্মী কুলাংগারের সাথে তর্কে জরানো মানে বোকামি, কারন তুই তো বিধর্মী আর তর জন্ম বিয়ের আগে,বিয়ের আগের সন্তান তুই,গোমূত্র খোর মালাউন",2
নারী হচ্ছে বিপর্যয়কর,2
এইশালা কুকুরে বাচচা,2
আফসোস! এদের এক কুত্তা কুত্তিকেও আমরা মারতে পারলাম না।,2
পুরুষের থেকে মহিলা স্ত্রী টি বেশি খারাপ। এরা করোনা থেকেও বেশি ক্ষতিকর সমাজের জন্য।,1
লিয়া নামের এমাগী কে জনগনের হাতে তুলে দেওয়া হউক তখন বুজবে কলা কত প্যকার।,2
বাংলার মাটিতে আর কেউ দিতীয় বিয়ে করার আগে একবার হলেও চিন্তা করবেন। বউ কি জিনিস,1
কুমিল্লার মেয়েরার মত খারাপ মেয়ে বাংলাদেশ খুব কম আছে,2
দুইপক্ষের দোষ। মহিলাদের টাকার লোভ আর পুরুষের নারীর লোভ,1
মহিলা সরকার মানি না 😡 পুরুষ সরকার গঠন কর,2
গার্মেন্টের মেয়েরা কত ভালো সেটা জানা আছে।,2
এই মেয়ের দোশ আছে,1
এইসব মেয়েরা যারা ঘর থেকে গারজিয়ান ছাড়া বের হয় তাদের এই অবস্থাই হবে।,2
এসব ছেলেরা জন্মের পর মারা গেল না কেন?,2
বেপদায় চলা ফেরা করা কারণে এই অবস্থা,1
মেয়েদের একা চলাফেরা করা য়াবে না।,2
এইসব মহিলা মেয়ে নামে কলংক 😑,1
মালটা হিট আছে রে মিয়া খলিফা মতো,2
মহিলারা রাস্তায় নামলে আল্লাহর গজব পড়বে ওদের উপর এটাই স্বভাবিক,2
ভাইরে ভাই কি মাল গুলা গুলা,2
মালটা দেখলে কেমন কেমন লাগে,2
এই সমস্ত কুত্তা দের কে পুরুষাঙ্গ কেটে দেয়া উচিৎ,2
ই বেশ্যা রে বিয়ে করলে তার আর জাহান্নামে যাওয়ার জন্য হিসাব নিবে না আল্লাহ,1
এটা হলো একটা বারোভাতারি,1
দেখতে পোরা পেতনির মত,1
"চিরকুমার নারে ভাই,চির পাঠা।",1
কাপুরুষ স্বামী,2
নারীর ক্ষমতায়ন বেশি হয়ে গেছে,2
নারীদের যতটা সহজ সরল ভাবেন ততটা সহজ-সরল না।,1
মানুষ এত বেক্কল হতে পারে আমি আজ প্রথম দেখলাম,2
তোমার পাগলের বাচ্চা আর কয় জন আছে,2
ইসলামে তো নারী জান্নাতে যাবেই না।নারীরা জাহান্নামী।,2
বুঝতে পারছি তোর আম্মি একটা তালাক মারা মাগী ছিলো সালা,2
খানকির ছেলে এইগুলো কেবল ব্যপসা মাগীর ছেলেরা বলতে পারে খানকির বেটা তোর আম্মিকে চোদার জন্য বাঁরাটা আমার খোটাং খোটাং করছে,2
অক্সফোর্ডের সব মাইয়া মাগি,2
বাংলাদেশের মেয়েদের মতো  পাকিস্তানের মেয়েরা নিজের স্বামীকে ছেড়ে অন্য পুরুষের সাথে রাত কাটায় না,2
ধুর হিজড়া কোথাকার,1
আপনি ভুলভাল বকা বন্ধ করেন ... পাগল ছাগল,1
সাদিয়া আসলেই মাগিএ ধরনের মেয়েদের জন্য বন্ধুদের মাঝে ঝগড়া হয়।,1
ঠিক তো মেয়েটা খানকি,2
"ওই মাইয়া তো এক নাম্বরের বেশশা মাগি,,,,,,।",2
সাদিয়া নামের মেয়েরা মনে হয় আসলেই খারাপ হয়,2
মেয়েরা এরা করোনার থেকেও ভয়ংকর,1
মাগিও সবার সাথে রাত কাতায়,2
পাশে দিয়ে কিছু কাপুরুষ গেল,2
sunny leone ও লজ্জা পায় এই মেয়েরে দেখে,2
সালী একটা মাগী। সানি লিওন এর বাসার কাজের মেয়েও হতে পারবো না বস্তী,2
"দোষ তো আপনার, কথায় আছেনা যেমন মা তার তেমন মেয়ে",2
"এর মা একটা বিশ্ব বিখ্যাত বেশ্যা,,,, আর বিভিন্ন দেশি বিদেশি হাইব্রিড বীজের তৈরি হচ্ছে এর মেয়ে.",2
বেশি সাধিনতা দিয়েএইসব বারোবাতারী হয়তেছে এই বয়সে এমন আরোতো বয়স পরে রয়েছে ।,1
"তোর মেয়ের সাথে তুইও দোজখের আগুন এ জ্বলবি,,ফালতু কোথা থেকে যে মাঝে মাঝে এইসব বাল ছাল উদায় হয়,,,",1
মা যেমন খানকি মেয়ে কেও তেমনি খানকি বানাইছে,2
মা ি টার নাম কি,1
ওর মায় আরো বড় বারভাতারি,2
মা মায়ে দুজন ওই মাঘি পারায় ছিলো,2
পতিতালয় দিয়ে দে তর মেয়েকে ব্যবসা খুব ভালো চলবে,2
নষ্ট মায়ের নষ্ট মেয়ে,2
তোর চেয়ে তোর মা বড় মাগি। তোর মা এর মুখ টা দেখা।,2
ওর মাও একটা খানকি,2
"ওর কি এটা আসলেই মা,, নাকি অন্য কিছু হয়,আর যদি মা হয় সিয়র পতিতা",2
কই থেকে আসে এইসব পতিতারা,1
মেয়ে একটা বেশ্যা মা হোচ্চে সিনিয়র বেশ্যা,2
বেশ্যার পেটে বেশ্যা হবে এটাই সাভাবিক,2
"খান্কি মাগী বাংলাদেশের মাইয়া ভাবতেই অবাক লাগতেছে,ছি ছি ছি,ওর ভিডিও এতটা নোংরা বলার ভাষা নাই",2
বেযাদপ মেয়ে খানকি মাগি তোর মেয়ের এই বেপসা,2
পতিতার ঘরে পতিতা,1
"এই সব মায়েদের জন্যই আজ সমাজের এই অবস্তা ,,ঘৃনা জানাই এইসব ফালতু মহিলাদের",2
আরে তুরা মা মেয়ে তো মাগিসালাম দেছ কেনো,2
মা মেয়ে কে কুত্তা দিয়া বইরা দিবো,2
বেশ‍্যার বাচ্চা তো বেশ‍্যাই হবে,2
"কেমন পতিতা রে ভাই এটা,,,এটার পুরা পরিবার মনে হয় পতিতা216",2
কিন্তু আপনি আপু কেমন মেয়ে যে প্রেমের 14 দিনের মাথায় চুদতে দেন। আসলে আপনার মতো মেয়ের গুদে ধোন দিয়ে কিছু হয় না ।,2
এতো গ্রাম্য বেশ্যা মেয়ে কোথাকার,2
এটা কি  সত্যি  হয়েছে  বিশ্বাস হয়  না  এইরকম  মাগি  যদি  আমার  হতো  শালীকে  দুইদিনে  সোজা  করে  দিতাম,1
"খানকির মাগী মেয়েদের  অতো অহংকার ভালো না,,,	",2
সত্যি  এমন মেয়ে  কারো  ঘরে  যাতে  না জন্মায় ...শালী  রাক্ষসী ...ডাইনি ..,1
শালী মাগী একটা খাংকি রি‌জেক‌টেড মাল ।,2
অপুর মতো মাগীরা সেক্স এর জন্য সব করতে পারে মাগি,2
খানকি  গুলোর  ভালো পরিবার  জোটে  আর  যারা  ভালো  তারা  খারাপ  পাই,1
এই মেয়ে  একটা  খানকি মাগি ওদের মতো মাগীদের জন্য এই অবস্থা,1
অপু তুই একটা মাগীর ঘরের মাগি,2
"এই ধরনের খানকির ছেলে গুলো এই রকমই হয়, এদের কোন জাত নাই, এরা সারা দিন এই কাজ করে বেড়ায়	",1
খানকি মাগি তোর মা খানকি তোর বাবা মাগি,2
আমি চাইনা এই বেইমান মাগীরা আর কোন বেইমান সন্তান জন্ম দেগ,2
এই  ছেলেটা  একটা হিজড়া  তার  এই  রকমই  হওয়া  দরকার  ছিল,2
পরীমনি  একটা  মাগি ... কাজ  করলেই  যে  এত্ত  কষাকষি  হতে  হবে ..... শালী  মাগি,2
পাগলা  চুদা  মহিলা এইরকম মহিলা কে ভালো করে চিনি,2
তোর বৌ আমাকে দিয়ে গোদের জালা মিটাবে,2
মনে হয় হেতের বাপে হেতের মায়ের পর্দা ফাটানি না লাগানি আগে দেইখা নিয়াই বিয়াত বইছিলো।,2
সাবাবের মারে চুদি সব চুদির পোলা তরা নটি মাগীর পোলা তগো কুত্তায় চুদে জন্ম দিছে,2
"মেয়েটা আসলেই একটা মাতারী, লেসবু পার্টনার বাচাই করবি ভালো কথা কিন্তু আগে খেয়াল করবি না যে মুছ আছে???",2
পাসের দুধ বড় মালটা কেরে আরিফ ভাবি নি,2
দুই মাগী একসাথে একই জায়গায়,2
হালার পুতে কি ছেলে না মেয়ে না হিজলা কিছুই বুজা জায় না,2
বেশ্যা মাগীরঝি  তোদের মতো মাইয়াগোর জন্য মাইয়াগো বদনাম হয়,1
কিরে হিজড়া,2
হালারপুতে মাইয়াগো ব্লাউজ পইরা আইছে তাও আবার লাল রংয়ের,2
হাফ লেডিস মাইয়াগো মতো করস কেন,2
ওরে হিজ্রা রে,2
তোর দুদ ঝুলে পড়েছে রে হাগার পো,2
মেয়ে সেজেছিস? শালা মাদারসুদ,2
আজকে যদি ব্রাজিলের কিছু হয় তাহলে মান্দারেরপো ঘেরারপো তোরে ওপেনে হিজড়া দিয়া ধর্ষণ করানো হবে,2
তুই মাইয়া কবেত্তে? আগে তো আছিলি হিজরা বাবা তাবিজ্জা।,2
হালায় যে হিজলা তার প্রমান ফোনের কাভারটাও মাইয়াগো কাভার লাগাইছে,1
আরিফ তুমি মাইয়ার চ্যাটের বাল হিজারা তাবিজের চুইদ্দা উঠাও গোয়ার ছাল।,2
কমেন্টের উত্তর না দিলে তোর মাকে চুদি,2
তরে দেখে হিজরা সম্প্রদায় লজ্জা পায় হ্লা আচুদা বাল,1
সব দোষ আসলে মেয়েদেরই তারা যদি ঠিকমত না থাকে আমাদের কি দোষ,1
আসলে এসব ধর্ষণের পেছনে মেয়েদেরই হাত,2
কালকে দেখলাম বাচ্চা মেয়ে ধর্ষণের শিকার।এদেশের কোনো ভবিষ্যত নেই,1
"তুই কী মাগির পুত নাকী হিজরার পুত,,",2
তোর মুখটা কুকুরের পুটকির মতো। সালা হিজরা,2
সালা তর কারণে জাতি এখন পান্জাবি গায়ে দিতে পারবেনা হিজলা হ্লার পুত,2
