Text,Labels
পৃথিবীতে সর্বপ্রথম কোন দেবী ছাগল তথা পাঠার সাথে sex করেছিলাে? উত্তর: মা কালি। সূত্রঃ-[কালিকা পুরান:আধ্যায় -১৩: পাঠাবলী খন্ড:ভুবনময় চট্টোপাধ্যায়:৪র্থ সংকলন]  বেশ‍্যা হিন্দু ধর্ম,1
শাওয়ার পোলা তোর বগবানরে চুদে মূর্তি ভেঙে দিব শালা বাইনচুদ।,2
তোদের মন্দির এ গিয়ে এ মাত্র হাগো করে আসলাম।শাওয়ার পোলা।,2
ইসলাম মানেই জেহাদি।,1
"যারা তোমাকে পূজার উপহার দেয় না, তাদের প্রত্যেককে হত্যা করো; যাদেরকে বোঝানো কঠিন, যারা তোমাকে তৃপ্ত করে না। ওদের সম্পদ আমাদেরকে দাও,কি এক আজিব ধর্ম",1
হিনদুরা শনতারশ,2
"মহম্মদ ধর্ষক,খুনি ।",2
মুসলিম সব্দের মানেই হল terrorist বা আতঙ্কবাদী. . . যারা কিনা সারা পৃথিবীর ধংশ লীলায় মত্ত,1
মুসলিম নামক এই বিষাক্ত প্রনিটিকে দুনিয়া থেকে নিশ্চিন্ন করে ফেলাই বান্ছনীয়.,2
"তরা যারা হিন্দু আছ বাংলা ভাষা কথা বলছ তদের হাত জিহবা কেটে দেয়ার দরকার ,",2
"মুসলিমরা কোনো তফাৎ নেই মামা,কেউ Ak 47 বা চাপাতি হাতে নেয়,বাকিরা চুপচাপ অর্থ দিয়ে ,কোরানের দোহাই দিয়ে,বিরোধিতা না করে সমর্থন করে।",1
মুষলিম শান্তিরবার্তা দিয়ে বিশ্বকে ড়াস্টবিনে পরিনত করছে।,1
চীন কুরান কে ব্যান্ড করেছে কুরান পড়লে মানুষ জঙ্গি হয়,1
অনেকদিন রূপকথার গল্প শুনি নাই🤓 ও হ্যাঁ শুনেছিলাম কোরআন নাকি বলেছিল পৃথিবী নাকি চ্যাপ্টা👻👻👽 সত্যি??শুনি এটাকে মিথ্যা বলতে কি নতুন গল্প বানাও।,1
"দাদা আসল জঙ্গি তো হলো মুসলিম রাই ,1% মুসলিম ভালো বললেও কম হবে মনে হয় ।",2
ইসলাম হচ্ছে মানব জাতির জন্য ক্যান্সার।,1
মুসলিমদের হাত থেকে ভারতকে বাচাতে দেশকে এখনই হিন্দুস্তান করতে হবে।,1
"কোনো পার্থক্য নেই। সব মুসলিম এক একটি সন্ত্রাসী। ওরা সন্ত্রাস কে ভালোবাসে। কারণ ওরা জবাই করে!তাই ওরা জবাই কে ভালোবাসে! ওরা নিজেদের মা বাপ কেও জবাই করতে পিছ পা হবে না, যদি এতে ওদের কোনো স্বার্থ সিদ্ধি হয়। নিপাত যাক ইসলামের মুসলীম।।।",2
"মুসলমানরা জঙ্গি নয়, তোরা হিন্দুরাই জঙ্গি, জা কাশ্মির উপর হামলা করে প্রমান করে দিলি।",2
সমস্ত জঙ্গি ই মুসলমান।,1
BJP সমরথক সকল হিন্দুই জঙ্গী। বিস্বাস না হলে গু গুগুল সার্চ করে দেখুন ।,1
"মন্দিরের পিছনে গাঁজা ও ভাংগ এ দম দিচ্ছে,হরিরাম ও হরে কৃষ্ণ বলে চিত্কার করে আকাশে ধোঁয়া ছড়াচ্ছে।রাতে দেশি মদের মহাউৎসব ।",1
রীতিমতো দেব দেবীদের খোলামেলা সেক্স কাহিনীতে এবং বিকৃত যৌনাচারনে পরিপূর্ণ হিন্দু ধর্মের ধর্মীয় গ্রন্থগুলো ।,2
আপনি কি এইটা জানেন না? হিন্দুদের মৌলিক গ্রন্থগুলোতে মূর্তিপূজার কথাই নাই। তাহলে মন্দির নিয়ে কিসের অভিযোগ?,0
যে উপাসনালয়ে তোমরা কথিত মূর্তি আর দেব দেবীর পূজা কর সে মূর্তিগুলোতো তোমাদেরই তৈরী। তোমরা যাকে ইশ্বর বা বগবান বলে দাবী কর তারাতো তোমাদেরই সৃষ্টি। তোমাদের ভগবানের প্রতিকৃতি ভেঙ্গে গেলে তারা যখন নিজেদেরই রক্ষা করতে পারে না তখন তাদের পূজা করা নিতান্তই মূর্খতা ছাড়া আর কিছুই নয়।,0
"আর যেই মন্দিরে মহান সৃষ্টি কর্তার সাথে কাউকে শরীক করা হয় সেই মন্দিরগুলো ভেঙ্গে ফেলাই সর্বোত্তম কাজ। আমি অবাক হয়ে যাই এই ভেবে যে, তোমরা এত মূর্খ হলে কি করে?",2
আল্লাহও তো তোমাদের মনগড়া নাম। আল্লাহ কি তোমাকে দেখা দিয়ে নিজের নাম বলে গেছে।,1
"বালের শ্রেষ্ঠ ধর্ম,, মাদার চুদ,, মানুষের ধর্ম নিয়ে গালাগালি করছ, তদের শ্রেষ্ঠত্ব তো কুকুরের প্রস্রাব হিন্দু ধর্ম",1
মুসলিম হলো কুতা,1
যারা নিজের বিবেক বুদ্ধি হারিয়েছে তাঁরাই মূর্তি পূজা করে,1
হিন্দু ধর্মের গোড়াতেই মারাত্মক ভুল!!,1
হিন্দু ধর্মগ্রন্থে হিন্দু নামই নাই।,0
"হিন্দু ধর্মগ্রন্থে - শাখা- সিদুর, ঢাক ঢোল অনুমতি নাই।",0
হিন্দুদের ভগবান বা ঈশ্বর বা সৃষ্টিকর্তার বউ লাগে কেন?,0
হিন্দুদের এক ভগবানের বউ আরেক ভগবানের ও বউ কি করে হয়?,0
ভগবান হয়ে ও তারই সৃষ্টি মানুষের সাথে সেক্স ( বিবাহ) করে কেন?,0
ভগবানের হাজার হাজার বউ কেন? তিনি সর্বশক্তিমান হলে মানুষ হয়ে জগত হতে পাপ দূরীভূত করার প্রয়োজন কি?,1
ইসলাম হচ্ছে জঘন্য একটা মতবাদ যা মানবজাতির ইতিহাসে চিরবর্জনীয় হবেই।,1
আসলে ইসলাম হচ্ছে COPY PASTE ধর্ম। নকল ইসলাম মহাকালের সামনে পরাজিত।,1
আমি বুঝতে পারছি না কিভাবে লোকেরা ব্যভিচারী ঈশ্বর ও দেবী [কাল্পনিক ] উপাসনা করে।হিন্দুদের প্রত্যেকটি বাড়িতে এই ব্যভিচারী ঈশ্বর সবচেয়ে প্রিয়। যাহার নাম কৃষ্ণ?কিভাবে একজন ব্যভিচারী স্ত্রী দেবী হয়ে যায়।হাস্যকর !!!,1
হোরে কিস্নো হোরেরাম রাধে হিন্দুরা জ্ররমো নিছে মুছোলমান্দের পাদে কথাটা না বোলে আর পারলামনা মুরতি পুজোকের বাচ্চারা গোরুর মুত খাছ আবার ধরমো সিখাছ,1
"আল্লাহ তো খুব ভয়ংকর, তিনি মারতে কাটতে বলছেন ঈশ্বর দয়া করতে বলছেন তাহলে দুজন এক হলো কি করে?",2
আল্লাহ ও কোরান মুহাম্মদ এর দ্বারা সৃষ্টি।,1
"মহম্মদের পুলি মেরে ছিল শুকরে, উটে,ঘোড়ায় পিঁপড়ে, টিকটিকি, কাঠবেড়ালি, গিরগিটি তে।।",1
"কৃষ্ণ কিছুই করেন নাই, হাজার হাজার মহিলার দেহ উপভোগ করেছেন মাএ।মামীও[রাধা] রক্ষা পাষ়নি।",1
হিন্দুদের সাথে মুসলমানের পাথক্য হল। মুসলমান ধমে আছে তরবারির নিচে জান্নাত হিন্দরা বলে ভালবাসার নিচে স্বগ। চারটি বিয়ে করার পরও দাসীর সাথে যৌন সঙ্গম করার অনুমতি দেই। হিন্দুরা বিয়ে ছাড়া কার সাথে সঙ্গম করা পাপ।,0
"আল-কোরান পড়লেই বোঝা যায় ইসলাম কোন শান্তির ধর্ম নয়,ছোট থেকে তাঁদের মাথায় এটা ফিট হয়েযায় ইসলাম ছাড়া অন্য কোন মত সত্য নয়, তাঁরা জেহাদ করে চলেছে প্রত্যেক দিন যা আমরা খালি চোখে দেখতে পাইনা, শুধু ভারত নয় মায়ানমার, শ্রীলঙ্কাসহ সারা বিশ্ব মুসলিম উপদ্রবের শিকার।",1
"ইসলাম একটা ধর্ম হলো,, সালারা নিজের মেয়ে বিবাহ করে..! ভাতিজিকে বিয়ে করে.. ভাগনি কে বিবাহ করে .. সব জায়েজ",2
তুই মুসলিম কোন ক্লাসে সে জানা গেল... জারা নিজের বোন কে.. ভাগনী কে চুদতে পারে তারা আর কি জানবে,1
তুই তোর বোনকে চুদবি এটা ইসলামের জায়েজ.,2
"ধর্ষণ, পরকীয়া সব কিছুই তো তোদের ধর্মে বৈধ তারপরে ও দোষ টা মুসলিমদের ঘাড়ে দিতে লজ্জা করেনা খানকির ছেলে?",2
আমরা কি করি .. তোমাদের ধর্মের মতো আমাদের ধর্ম না... .. তোরা নিজের বোন কে বিবাহ করিস.. ভাগনীকে বিবাহ করিস.. এটা তো কোরানে লেখা আসে.. সব তোমাদের জায়েজ..,1
ভাইয়া বেদ উ এই পৃথিবীর সংবিধান.. ... তোমাদের কোআন বেদ থেকে কিছু অংশ নিয়েছে... ..? তোমরা মুসলিম. মুসলিম এই পৃথিবী ধ্বংস করবে,1
মুসলিম ভয়ংকর প্রাণী,2
"কোরআন পড়ে কেউ বিজ্ঞানী হয়নি, তবে অনেকেই জঙ্গী হইছে",2
জরত মহম্মদ কটা বিয়ে করে ছিলো? তাদের বয়স কত থেকে কত বল? বেশি বয়সের খাদিজা থেকে ছয় বছরের জয়বন! শিশু ধর্ষক।,2
"ইসলাম ধর্ম গ্রহন করেছে যারা তারা মূর্খ। সবচেয়ে ননৃশংস ধর্ম ইসলাম। রেপ, খুনাখুনি, মূর্খতা, উগ্রতা সব এক ধর্মে তার নাম ইসলাম।",2
"তোদের হিন্দু দেশ ভারতে সবচেয়ে বেশি রেপ, খুনাখুনি,খারাপ কাজ হয়।",0
নোংরা। তোদের হিন্দু ধর্ম পরিষ্কার হলে ভারত ও পরিষ্কার হত।,1
"যারা পথভষ্ট হয় ,তারা মুসলীম হয়।",1
ভারত নোংরা দেশ। যা হিন্দু ধর্মের কিছু নিয়মের কারণে হয়েছে।,1
আপনার কাছে কি কোনো solid প্রমান আছে যে আপনার আল্লাহ আরশের ওপর বসে আছে?,0
ভাই কোন বইতে লেখা আছে পৃথিবী উট পাখির ডিম্বাকৃতি? আপনারা কোরান পড়েন না চটি বই পড়েন? নাকি মহানবী জাকির নায়েকের (সা:) কথা শুনে শুধু লাফান?,2
"হিন্দুরা একটু ভালো করে নজর দিন অতীতে যে রাক্ষস বংশের উল্লেখ পাওয়া যায় সেটি হলো মুসলিম ধর্ম , হযরত মোহাম্মদ জীবন যাপন লক্ষ করুন",1
রাক্ষস ধর্ম সম্পর্কে জানতে পারলে বুঝতে পারবেন শয়তানের রুপী ইসলাম ও নবী সাল্লাল্লাহু,2
ইসলাম মানব জাতির জন্য আভিশাপ😥,2
আল্লাহ বলছে বিধর্মীরা কাফের তাদের মুসলিম বানাও আর না হলে যেখানে পাও হত্যা কর. ইসলাম জান্নাতের লোভ দেখিয়ে মানুষের মানবতা শেষ করে দেয়. ও কেমন সৃষ্টিকর্তা যে কিনা মানুষকে কাফের বলে কাফেরদেরকে ও বানায়নি নাকি আল্লাহ শুধু মুসলিমদের কে বানাইছে আবার বলে দেয় কাফেরদের সাথে বন্ধুত্ব করো না. ওকে মন সৃষ্টিকর্তা যে কিনা শত্রুতা সৃষ্টি করে দেয়.,1
যেখানে জান্নাতের 72 হুরের লোভ দেখিয়ে মানুষকে জঙ্গি জিহাদ করতে বলা হয় সেটা কোন ধর্ম হতে পারে না. মোহাম্মদের মনগড়া বানানো সম্প্রদায় যা মানব জাতির জন্য অভিশাপ ডেকে আনছে. আপনি নিজেও জানেন না আপনার পূর্বপুরুষদের জোরপূর্বক ধর্মান্তরিত করা হয়েছিল,1
সারা বিশ্বে সবচেয়ে নোংরা ধৰ্ম হচ্ছে ইসলাম ধর্ম।,2
মুসলিমরা সমগ্র বিশ্ব শান্তির জন্য হুমকি প্রতিটা ব্যাপারে ওদের সমস্যা আসলে ওরাই সমগ্র পৃথিবীর জন্য সমস্যা জয় শ্রী কৃষ্ণ,1
মোহাম্মদ ছিল একটা নারী ধর্ষক।,2
মোহাম্মদ নিজেই জয়নবকে বল পূর্বক বিবাহ এবং ধর্ষণ করিয়াছিলেন।,2
"মোহাম্মদ নিজ মাসী খালুয়া-র সাথেও সহবাস করিয়াছিলেন। শুধু তাই নয়, খালুয়ার মৃত্যুর পরেও সেই মৃতদেহকেও ধর্ষণ করিয়াছিলেন।",2
পাঁচ বছরের শিশু আয়েশাকে বিবাহের নাম ধর্ষণ না করে ছাড়েন নাই।,2
"তোদের নবী, একটা শিশু মাদী উট চুদেছিল, সেটা জানিস তো?",2
তোদের সেই মাদী উট চোদা পয়গম্বর হজরত মহম্মদ নিজ পুত্রবধূ জয়নবকে বিবাহ করেন ও ধর্ষণ করেছিলেন।,2
"বর্ত্তমান কালে শ্বশুরকে দিয়ে ধর্ষণ করাবার জন্য নিজ স্ত্রীকে বারে বারে ""তিন তালাক"" দিতেন স্বামী। পিসলাম ধর্মে ইহা হালাল।",1
হিন্দুরা নিজেদের মোকাবেলায় অক্ষম ছিল। তাই বাচার জন্য তাদের স্ত্রী কন্যাদের মুসলমান শাসকদেরকে উপধৌকন দিত। তাতে লাভ হতো দুটো স্ত্রী কন্যারা মুসলমানদের যৌন ক্ষুধা মিটাতো আর তারা নিরাপদে বসে স্ত্রী কন্যাদের দেহ বেচা পয়সায় বিলাসী জীবন যাপন করতো।,1
মুসলমান মানেই পাকিস্তানী টেরোরিস্ট,2
ভগবান শ্রীকৃষ্ণ নিজের বোন সুভদ্রার রূপে কামুকী হয়ে অপহরণ করেছিল,1
"বিষ্ণুর লোভ হলো শুকরের যোনিতে, যেমনি ইচ্ছা তেমনি কাজ,যৌন সম্ভোগ করার পর তিনি নিজেই বলেছেন",2
ভগবান শ্রীকৃষ্ণ উনি তো এমনিতেই ১৬০০ রমনীর ইজ্জত লুট করেছে তা সত্ত্বেও নিজ ভগ্নির সম্ভ্রম কেন নষ্ট করলো?,2
".শুকর একটি নিকৃষ্ট জীব, ভগবান বিষ্ণু তার সঙ্গে কেন এমন নোংরামি করলো?",1
এই ভারত মাতার দেশ থেকে নাইরার বাচ্চা মুসলিম জাত অনু প্রবেশ কারি কে তারাতেই হবে,2
ইসলাম নামক ভাইরাস এর সামনে মাতৃগর্ভে র সন্তানও নিরাপদ নয়। এই ভাইরাসকে পৃথিবী থেকে দ্রুত নির্মূল করা প্রযোজন ।,2
এই হিন্দু ধর্মটা পুরা পৃথীবিটা জালিয়ে পুডিয়ে খুডে খুডে খাচ্ছে। এদের কোন লজ্জা বলে কিছু নেই,2
সেইজন্যই জেলখানা মুসলিম ভর্তি। অপরাধ করে সিংহভাগই মুসলিমরা। খুন ধর্ষণ করে বেশীরভাগ মুসলমানরা।,1
ইসলাম মানবতাবিরোধী বিষাক্ত মারণ ভাইরাস । অন্য ধর্মের সাথে মিশতে পারে না । অন্য ধর্মকে আল্লার শত্রু মনে করে । অন্য ধর্মের ক্ষতি করার চেষ্টা করে ।,1
ইসলাম ধর্মে মুসলমানরাই নিরাপদ নয়। ইসলাম দ্বারা অন্য ধর্ম ক্ষতিগ্রস্ত হয় । ইসলাম মুসলমানদেরও ক্ষতি করছে । কিন্তু ধর্মান্ধ মুসলমান সেটা উপলব্ধি করতে পারে না ।,1
এই অভিশপ্ত ইসলাম ভাইরাস থেকে বাঁচতে পৃথিবীর সব মানুষকে একজোট হতে হবে ।,2
ইসলাম মোটে ই আর পাঁচটা ধর্মের মতো নয় । জলজ্যান্ত বিপদ ।,2
ইসলাম ছলে বলে কৌশলে জাল বিস্তার করছে । ইসলাম থেকে মানুষকে বাঁচাতে হবে ।Show less,2
ইসলাম পৃথিবীকে ১৪০০ বছর পিছনে নিয়ে যাওয়ার চেষ্টা করছে । ইসলামে শান্তি নেই । শান্তি থাকা সম্ভব নয়।,1
এখানে কোনো মুসলিমকে থাকতে দেওয়া যাবে না । দরকার হলে হিন্দুদের অস্ত্র ধারণ করতে হবে ।,2
উম্মতে মুহাম্মাদি নবীকে চূড়ান্ত ভাবে গনধর্ষন করবো 🕉️শিবশঙ্কর।,2
নিজের টাকায় কোরান কিনেছি কেন জানিস? আমি পায়খানা করার পর ওই (কোরান) বইটা শুধুমাত্র আমার টয়লেট পেপারের কাজ করে।,2
আমার অনেক মুসলিম চ্যানেল সাবস্ক্রাইব করা আছে দোস্ত শুধু মাএ তোমাদের ধর্মের বড় আব্বা নবী আর আল্লাহ কে গনধর্ষন করার জন্যে,2
আমি তোদের ইসলাম ধর্মের চ্যানেলে গিয়ে মুসলমানদের গনচোদন দিয়ে আসি,2
উম্মতে মুহাম্মাদি কোরানের ভূল বের করা আমার কাজ না আমি কোরান দিয়া আমার ফুটায় লেগে থাকা হাগা💩💩 মুছি তাও আমার নিজের টাকায় কেনা কিতাব।,2
উম্মতে মুহাম্মাদি নে এইবার কাল থেকে নতুন ভিডিও ছাড়লেই আমি তোর দেওয়া একটা ইসলামীক চ্যানেলে ঢুকে আল্লা/নবীর অনুসারীদের ধর্ষণ করবো তৈরী থাকিস।,2
"উম্মতে মুহাম্মাদি, তোদের পিসলাম ধর্ম যদি এতই ভালো হয়, তবে সারা পৃথিবীর মানুষ (নারী-পুরুষ নির্বিশেষে) তোদের ধর্ম গ্রন্থের উপরে হাগে কেন ? মোতে কেন ?",1
হিন্দু শেষ হতে বেশিদিন বাকি নেই.. হিন্দুরা নির্লজ্জ বেশির ভাগ,1
এটা  তো  তোদের  কাহিনী  হিন্দুর  বাচ্চা,2
হিন্দু তুই মাগির বাচ্চা মাদারচোদ,2
"আপনার কাছে হজরত মহম্মদ মহা নবী হতে পারে কিন্তুু আমাদের কাছে নরকের কীট। ধর্ষক একটা হজরত মহম্মদ, খুনি। সেই জন্যতো মুসলিম মানে জঙ্গী তার বড়ো উদাহরণ পাকিস্তান।",2
খানকির  ছেলে  সব মোল্লা  গুলো  কেই  ফাঁসি  দেওয়া উচিত  ছিল,2
আজ পর্যন্ত যে কটা রেপ করেছে আপনি খোঁজ নিয়ে দেখুন তারা ম্যাক্সিমাম  মুসলিম।,0
কুত্তার  জাত  কে  কখনোই  বিশ্বাস  করতে  নেই ... নিজের  মা  বোনদের ও  এরা ছাড়ে না  সালা  শুয়োরের জাত,2
তোমাদের  মতো  কিছু  নৃসিংশদের  জন্য  হিন্দু দের  আজ  এই  রকম অবস্থা ...,0
ওটা মুসলিমদের  হয়  হিন্দুদের  নয়,0
আলীর  গুষ্ঠীরাই বেশি  খাচ্চর শালা মাগিবাজ,2
মুসলিম সমাজে মেয়েদের কে ভোগের বস্তু মনে করা হয়,2
হেগো কাপর ছাড়িসনা। মাছ মংস কাঁচা কাঁচা ঝলে দিয়ে খাস। কি নোংরা ইসলাম ধর্ম রে,1
হিন্দু  তোমরা  মূর্খর  মতো  চুপ  থেকো  না ...পিগ  গুলোকে  সামলাতে  হলে  বাংলায়  বিজেপি   আর  যোগী  চাই .জাগো  হিন্দু  জাগো,1
এই মাদ্রাসার হোগুরকে ডিলডো মেরে শাস্তি দেয়া হোক।,0
নাস্তিকতা মানে ই মানুষিক রোগী ।,1
"নেশা করে পুরাই মাতাল, নাস্তীক পারার সদস্য কিনা সে জন্যয় এ অবস্থা",1
"নেশা করে পুরাই মাতাল, নাস্তীক পারার সদস্য কিনা সে জন্যয় এ অবস্থা শালা নাস্তিকের বাচ্চা",1
"হুজুর মাদ্রাসার ছেলেরা ছাগলের সাথে সেক্স করে গরুর সাথে সেক্স করে আমার কাছে যথেষ্ট প্রমাণ আছে, আমাদের নবী দাসী তার ছেলের বউ সাথে সেক্স করেছে",1
"ওয়াক থু,,, ছিঃছিঃ সরম! তোমরা শুধু এই কামটাই ভাল পারো, এছাড়া  তোমরা নাস্তীক আবালরা আর কিছু পারোনা",0
বলদ মুমিন মুসলমান বলতেই এমন শালার,1
"কৃষ্ণ জাউররাটার কতটা ধোন ছিল বা কত বড় ধোন ছিল যে অতগুলা মাগি চুদছে,লিলা খেলা করছে।",1
"কিরে মাদার ফাকার,তুই নাস্তিক সেটা তোর আর তো বউ এর হোগার ভিতর ভইরা রাখ।",1
তুমার পক্ষি টা আল্লাহু আকবার কইরা ফালাইয়া দিব মাদারচোদ,2
ধর্মান্ধদের জ্ঞান থাকে শিশ্নের আগায়।,0
"আল্লাহর হুকুম ছাড়া আমার ধোন খাড়া হয়না, আবার হাত ও মারি আল্লাহর হুকুমেই।",1
লুইচ্চা নবীর হিজড়া উম্মত শুয়োরের জাত,2
মালুর বাচ্চা তোদের ধর্ম যদি সত্যি হয় তবে তাকে সরাসরি চ্যালেঞ্জ করতে পারিস না কেন?,2
খাঙ্কির পোলা ইসলামের মত বেজন্মাদের ধর্মের সাথে হিন্দু ধর্মকে চ্যালেঞ্জ জানাতে হবে কেন?,2
"হিন্দু ধর্মে খাতনা করা বৈধ, অথচ হিন্দুরাই জানে না।",0
নবী মোহাম্মদ হলো সেই জারজ সন্তান যে দুই পাগলা কুত্তার চুদো চুদিতে জন্মেছিল,2
তোদের আবাল চোদা ধর্মে খাসি ছাগলের মতো তোদের বিচি কেটে দেওয়া হয় কেনো,1
গরুকে মা বলস ছাগলকে বলতে পারিস না????🐐🐃🐄🤣এ যেন সন্তানের পায়ের নিচে মায়ের স্বর্গ,1
তোদের ভগবান আমার নুনুর বিচির সমানও না,2
তোদের পুজার মধ্যেই তোদের ভগব্যানের বিচি তোদের হাতে ধরিয়ে দিব😁😁😂😂🤣🤣 অনেক মজা হবে।,2
"তোরা হিন্দুরা গোপনে বসে বসে গরু খাস,আবার বাইরে এসে ভাব দেখাস😂🤣 গরুর প্রতি ভক্তি সম্মান দেখাস😁",1
কত নাটক জানস তোরা🤣 হিন্দু ধর্ম বেশ্যামাগিদের ধর্ম,2
