,Text,label
36,জাকির নায়েক হীন্দুদের গোয়েন্দা সংস্থা'র'এর এজেন্ট হ‌ওয়ার কারনে ভারতের মত দেশে এতদিন সে প্রকাশ্যে ইসলাম প্রচার করতে পেরেছিল,1.0
37,সয়তানি ধর্ম হিন্দু সম্প্রদায়ের,1.0
38,মন্দিরের ভন্ডামি ভিতরে কাউকে ছবি তুলতে দেয় না হালারা নিজেরাই লাল রঙ ডাইলা মায়ের মাসিক বানায়,1.0
39,হিন্দু ধর্মের গ্রন্থে অনেক অবজ্ঞানিগ কথা আছে জা দারা প্রমাণিত হয়েছে জে হিন্দু ধর্ম মানব রচিত ধর্ম,1.0
40,কোন খানকির ছেলে বলতে পারবেনা মুসলিমদের পুর্বপুরুস হিন্দু ছিল,2.0
41,জঙ্গীবাদী মানুষ খুনের ধর্ম ইসলাম,2.0
42,দেবতা লুইচ্চা কৃষ্ণ,1.0
43,জংগী হলো হিন্দুরা,1.0
44,বড় জংগী ছিলো নবী এই জন্য তোর ধর্ম জংগীর ধর্ম শয়তানের ধর্ম,1.0
45,তোর হিন্দু ধর্মে গরুর মুত ও গোবর খাওয়ার নির্দেশ আছে তাই লুচ্চা কৃষ্ণ আর রাধা খানকি খেত,1.0
46,সীতা খানকি কে লেংটা করে বেজন্মা রামচন্দ্রের সামনে চুদেছিলো সে,2.0
47,তোরা হিন্দুরা ছাগলের মুত খাস নুনুকাটা হিজড়া শিব আর পার্বতী খানকি ছাগলের মুত খেত,1.0
48,"হিন্দু ধর্মের অারেক নাম ""চটি"" ধর্মযার ইতিহাসের পরতে পরতে অবাধ যৌনতা ও অশ্লীলতা মিলে মিশে একাকার",2.0
49,হিন্দু ধর্ম হচ্ছে একটা সারালের ধর্ম ওয়াক থু থু থু,2.0
50,তুই নিজে নংরা তোর ধর্ম নংরামী তে ভরা তোদের নবী মহম্মদ মেয়েদের গুদে ফু দিয়ে বেড়াত  তোদের নবী নিজের ছেলের বৌ কে চুদেছিল,2.0
51,জঙ্গি বাদি ইসলাম,1.0
52,নোংরা হিন্দুরা ধর্মের নামে এসব নোংরামিই ভালোবাসে এবং মজা পায়,2.0
53,ধর্মের নামে এসব নোংরা কাহিনি  মন্দিরের ভন্ড গুরুদের আবিস্কার,1.0
54,শীবলিঙ্গ আর যোনি পূজা এই অশ্লীল কাজ ইতো আপনাদের ধর্ম,2.0
55,সুবিধাবাদী আর লুচ্ছা হিন্দুরা নাস্তিক হিন্দুরা গুরুরা এতেই মজা পায় আর সমাজে এর বিস্তার ঘটাচ্ছে,2.0
56,এই হিন্দুরা বেইমানের জাতরা আরব দেশ গুলোতে ভিক্ষা করে খায় আর মুসলমানদের তাড়ানোর জন্য দেশে দাঙ্গা বাধায়,2.0
57,মূর্তি পূজকরা হল বিশ্বের সবচেয়ে ভয়ংকর অহংকারী আর হিংস্র জাতি যাদের বন্দু হল অভীশপ্ত ইহুদিরা,1.0
58,তুদের ইসলাম ধর্মে এই অনুমতি আছেতোদেরকে অমানুষ বানাবার জন্য,1.0
59,ধর্ষণ করা আপনাদের হিন্দু ধর্মে বৈধ,2.0
60,আপনাদের হুজুর রা খালি মানুষ খুন করতে বলে কেনো,2.0
61,দুনিয়ার সব কুসংস্কার ও নষ্টামী ছিঃ ছিঃ তোদের হিন্দু ধর্মে,1.0
62,তোরা ধন কাটা মূসলমান হিন্দু ধর্মের কি জানিস জদিও তোদের বাপ ঠাকুরদা হিন্দু ছিল,2.0
63,কোন উৎকৃষ্টতার নজির মুসলমান ধর্মে আছেযে ধর্মের শুরু হয় ছেলেদের লিঙ্গের অগ্রভাগ এবং মেয়েদের যোনির অগ্রভাগ ছেদনের মধ্য দিয়ে যে ধর্মে ঘরের বাইরে বেরোতে গেলে মেয়েদের বস্তা মুড়ি দিতে হয়,2.0
64,এই নিকৃষ্ট কুকুরের বাচ্চা মালাউন গালি দিলি কেন তোরা নিকৃষ্ট জাতি লিঙ্গ পুজা কুকুরের সাথে মানুষের বিয়ে দিস এটা কোনো ধর্ম হল,2.0
65,আপনি কি নিজের ধর্ম বোঝেনআবার আসছেন হিন্দু ধর্ম নিয়ে কথা বলতে,1.0
66,হিন্দু সালারা মালাউনদের বাচ্চা রা সব চেয়ে বেশি নিক্রিস্ট ধর্ম হলো হিন্দু ধর্ম তোরা ইসলাম পবিত্র ধর্মর ব্যাপারে কি আর বুজবি,2.0
67,ওদের কমেন্টস দেখলেই মনে হয় পৃথিবীর মধ্যে সবচেয়ে নিকৃষ্ট বাংলাদেশি মুসলমান,1.0
68,হিন্দুদের যোনী পূজা আর সৌদির কালো যোনী পাথর চুম্মা দেওয়া একই,1.0
69,বদমাইসআমি আমার নিজের হেতে একটা মাটির পুতুল বানালাম এই পুতুলে সৃষ্টিকর্তা আমি এই মাটিত পুতুল আমার রব হয় কিভাবে,1.0
70,মূর্খ জাত ইসলাম ছাড়া কোন ধর্ম পৃথীবিতে নাই বাকিগুলা মানুষের তৈরি ধর্ম,1.0
71,আমি যানতে চাই কালীর চেহারাটা এত ভয়ঙ্করী কেন - যাকে আপনারা পূজা করেন তা দেখে ভয় পাওয়ার কারন হবে কেন,1.0
72,এই বেডি মন্দিরে আসার আগে কাঞ্চনা মুভি দেখে আসছে,1.0
73,তোরা নিজেরা মূর্তি বানায় তাকে সে দানিশ তাকে প্রবন মানুষ তাকে সকল ক্ষমতার উৎস বস মানিশ এটা পাগলামি ছাড়া আর কিছুই না,1.0
74,সব পাগল পুগলের কারখানা হিন্দুদের মাঝে ১ হাত জিববা বের করে আছে দেকলেই তো ভয় লাগে জাকে দেকলে ভয় লাগে সে কখনো মানুষের কল্যানে আসতে পারে আমি বিশ্বাস করি না সবি নাটক আর কিছু না,1.0
75,যেমন ধর্ম তেমন কর্ম যত্তসব পাগল কারখানা,1.0
76,এগুলো কোন ধর্মীয় কৃষ্টি-কালচারের পড়ে না আসলে সনাতন ধর্ম একটি শয়তানের উপাসনা করে,1.0
77,সম্পূর্ন ভুয়া আর ভন্ডামি এগুলো সব ধর্মে আছে এরা আসলে কি ভাবে লোক সমাজে মুখ দেখায় বুঝি না,1.0
78,কিরে বাঁড়া কিছু বুঝলাম না ভগবান কে ভালোবাসো ঠিক আছে ন্যাকামো করার কি আছে যতসব পাগল ছাগলের উৎপাত ওই মহিলার কান্ড দেখে ভগবান মনে হয় ভয় পেয়ে গিয়েছিলো,1.0
79,ওর ভোদায় সাথে সাথে বাশ ঢোকালে ঠিক হয়ে যেত কারন বাশ তো ওর ঢুকথ না ঢুকতো কালির ভোদায় আর কালি ওকে ছেরে চলে যেত ও ঠিক হয়ে যেত 100%,2.0
80,মহিলার কান্ড দেখে আপনাদের মা কালী নিজেই ভয় পাইছে,2.0
81,আমি মনে করছি এই মহিলা কি তার ভগবান কে ভয় দেখালেন নাকি মহিলা কি বুঝে গিয়েছে নাকি মূরতি তো মূর্তি এতে কি আবার জীবন আছে নাকি যতসব পাগলের মেলা সময় হারিয়ে বুজবে অকারণে তুলসির মুলে জল ঢালিলাম তার দেখা না পাইলাম পাগল,1.0
82,এটা কি হলো তাদের কালি কে # দারুন শাড়ী পড়ে একটি দলা সুন্দরী এভাবে টোল করছেআর চেচামেচি করছেআর কালী দীদী হা করে তাকিয়ে আছেতার মানে ইনি কালি দিদির বড় কালী দিদি আকাশ ভরা তারা হোগামারা সারা,1.0
83,জয় মা কালিএটা একটা রোগ,1.0
84,গোমূত্র খাওয়া বেশি হয়ে গেছে তাই এরকম ভাব হচ্ছে এখন একটু মানুষের মূত্র খাওয়া দিলেই ঠিক হয়ে যাবে,1.0
85,কালির নতুন ভার্শন,1.0
86,বয় পাবেন না পাগল চাগেলর ইবাদত করতেচে,1.0
87,আসলে হিন্দু সম্প্রদায়ের অনুগামীরা পাগলের মেলা তারা পাগল তাই হিন্দু ধর্ম পালন করে,1.0
88,মুত্তি পুজা তো হারাম এটা কি কোন ধর্মের কাতারে পরে নাকি গরুর মুত খায যতো সব পাগল ছাগলের কাজ,2.0
89,ধর্ম নিয়ে কতো ভন্ডামি করবে হিন্দুরা,1.0
90,কালি সয়তান আসর করছে দর্ষকলীগ খবর দেন,1.0
91,গরুর মুতের সাইড ইফেক্ট,1.0
92,পুরোটাই অভিনয় পীরের মাজারের মত,1.0
93,পোজা করে ফালথু টাকা করচ করে কোনো লাপনাই,1.0
94,গাঁজা সেবন করুন কালির দর্শন পাবেন  এতক্ষমতা পারলে ভারত বর্ষকে করনা মুক্ত করে দেখান,1.0
95,Direct শয়তানের পূজা করা হয়মুর্তি গুলোর ভিতরে শয়তান থাকে হিন্দুদের পূজায় এমন প্রায়ই ঘটতে দেখা যায়,1.0
96,সম্পূর্ণ পাগলের প্রলাপ এই ভাবেই হিন্দু ধর্মে ধ্বংসের দিকে এখনই,1.0
97,পৃথিবীতে সব চেয়ে খারাপ ধর্ম থাকলে সেটা হলো হিন্দু ধর্ম এটা তার প্রমান,1.0
98,তুর গাছ বাশ তুই পুজা করে তুর পুটকিতে ডুকাই রাখ,2.0
99,ভারতের বাহিরে ১টি মন্দির আমাকে দেখিয়ে দিন তা পারবেন না কারন মন্দির সব ভারতে ভারতের বাহিরে আপনাদের চিহ্ন নেই,1.0
100,কুত্তার দাম আছে আপনাদের হিন্দুধর্মের কোনো দাম নাই,1.0
101,আরে ভাই কিট পতংগের সাইজো বড়ো আছে হিন্দুধর্মের তুলনায়,1.0
102,আপনি মুসলিম নামের কলংক,1.0
103,তুই সবচে বর ইয়াহুদি,1.0
104,শালা একটা ভণ্ড ইসলামের নতুন ফেতনা,1.0
105,দুনিয়ার ৭৬% মানুষের কাছে কুরানের কোন দাম নাই সেখানে যদি আপনি কুরান নিয়ে আসেন তাহলে আসল মুর্খটা কে আপনি না পৃথিবীবাসী,1.0
106,ইসলাম কি কোন জাতি,1.0
107,আল্লা পাক সেক্স ভিডিও নিয়া ব্যস্ত আছে,2.0
108,ইহুদীদের বালের সমান যোগ্যতা তোদের ইসলাম ধর্মের মানুষদের আছে,1.0
109,তোরা ইহুদীরা মানুষকে সন্ত্রাস করার শিক্ষা দেয়,2.0
110,হাস্যকর কথা  এই থেকেই বোঝা গেল আপনি কতটা মূর্খ হাদিস এ বলা আছে দজ্জাল ও মহামারি আসতে পারবে না মদিনায়  আর আপনি বললেন হাদিসে নাকি বলা আছে যে দজ্জাল ও প্লেগ মদিনায় ঢুকতে পারবে না এই কথাটা কোথায় বলা আছে আর প্লেগ সম্পর্কে বলা হয়েছে যে এটি একটি এমন রোগ যার কোন প্রতিকার নেই কিন্তু ইহুদি ও নাসারা এই রোগের প্রতিকার বের করে ফেলেছে তার মানে বোঝা গেল ধর্ষক মহম্মদ সেই গুলো কিছুই বুঝতে পারে নি,1.0
111,আপনি তো বিশ্বাস করেন যীশুকে ইহুদিরা ক্রশবিদ্ধ করে হত্যা করেছিল খুব জানেন তাহলে মরার মতো হিন্দু ফালতু ধর্ম ত্যাগ করে খ্রিস্টধর্ম গ্রহণ করূন ,1.0
112,আল্লাহ নারীদের সৃষ্টি করেছে পুরুষের ভোগ্যপণ্য হিসেবে এবং যৌনসঙ্গম জন্য,1.0
113,আমি হিন্দু ধর্ম বিশ্বাস করি হিন্দু ধর্ম ও মুসলিম ধর্ম যৌনসঙ্গমে ভরা,1.0
114,ইসলাম ধর্মে নারীর কোনো মর্যাদা ও সম্মান নেই ইসলাম ধর্মে নারীর মর্যাদা শুধু তার গোপনাঙ্গের,2.0
115,ইসলাম ধর্মে নারীদের সম্মান নাই তাই তিনি নারীদের তেঁতুলের সাথে তুলনা করেছেন শুধু আমি একাই ইসলাম ধর্ম ত্যাগ করি নাই তেঁতুল হুজুরের ঐ কথা শুনে হাজার হাজার নারী ইসলাম ধর্ম ত্যাগ করেছে ইসলাম ধর্মের সমস্ত নারীদের ইসলাম ধর্ম ত্যাগ করা উচিত,2.0
116,ইসলাম ধর্মে নারীদের নিকৃষ্ট জীব হিসেবে মনে করা হয় কাজেই এই ধর্ম আমার জন্য নয় হতে পারে এই ধর্ম আপনার মা বোনের জন্য,1.0
117,ইসলাম হল একমাত্র ধর্ম বাকি সব ধর্ম কাফের দের তৈরি,1.0
118,একমাত্র হিংসার ধর্ম হল ইসলামধর্ম,1.0
119,তুইও হযরত মুহাম্মদ এর মত মাগীবাজ ‌,2.0
120,হজরত মুহাম্মদ তোর মা ও আমার সাথে মাগীবাজি করেছে  হজরত মুহাম্মদ একজন মাগীবাজ ছিল,2.0
121,জাকির নায়েক একজন ভন্ড প্রতারক  তিনি ইসলাম ও খ্রিস্টান ইহুদি ধর্ম বিকৃতি করিয়াছেন,1.0
122,তুই আগে প্রমাণ করখ্রীষ্টান সত্য ধর্ম শালী বস্তি ঈসা নবী ইসলাম প্রচার করতে আসছেআর জানোয়ার খ্রীষ্টানের দল তার ধর্ম আর কিতাব দুইটারেই পরিবর্তঅন করে ফেলসে,2.0
123,জানোয়ার বাইবেলের প্রথম পেইজ শুরু হইসে আবাল চোদা কাহিনী দিয়া পুরা বাইবেল জুড়ে আবালচোদা কাহিনি,1.0
124,তোরে আর তোর খ্রীষ্টান ধর্মরে জুতাপেটা করবো আমি,2.0
125,হিন্দু  জাতটা এরকম  হয়,1.0
126,শালা  আসিফার  মতো  আরো  মুসলিম  মেয়েদের  রেইপ  করা  উচিত,2.0
127,জাহান্নামে  যাবি তোরা ঐখানে পুড়ে মরবি শালারপুতেরা,2.0
128,আমাদের হিন্দুদের কলঙ্ক সৃজিতশালা আর মেয়ে পেলো না  গাই বাছুর সহ বিয়ে তাও আবার মুসলিম মেয়ে	,1.0
129,তোদের ভগবান কত জন তোদের সৃষ্টিকর্তা কে কৃশ্ন মহাদেবমা দূর্গা কার্তিকগণেশ নাকি হনুমান,1.0
130,আর  এটাও  ন্যাচারাল  মুসলিমরা  অনেক  বেশি  নৃশংস  হয় শালার  জাত  পশুর  জাত,2.0
131,মোল্লাদের মা  গুলো  আগে  চোদা  দরকার ,2.0
132,মুসলিম  জাতিটাকে হাটাতে হবে এরা দেশের কুত্তা থেকেও অধম,1.0
133,ওদের  মধ্যে   হিন্দুও  ছিল তাই  ধর্মের  নাম  না  দিয়ে  জানোয়ার  বলা  দরকার ,1.0
134,মোল্লাদের ঘরের মেয়েদের এরকম ধরে যতদিন ধর্ষন না করা হবে তত দিন এরা শায়েস্তা হবেনা	,2.0
135,আমার মতে তোর কোন ধর্মই নেই,1.0
136,খানকির ছেলে মাদার চোদ হিন্দু চোদা ভোলানাথ নস্কর কি তোর নাজায়েজ বাবা ছিল۔ শুয়োরের চোদা۔ জাত ধর্ম না দেখে মানুষ কে ভালোবাসা সেখ সমাজে সন্মানপাবি۔ তোদের মতো জানুয়ার দের জন্য আজ সমাজ রসতলে যাচ্ছে,2.0
137,মুসলিমরাই  এমন  কাজ  করতে  পারে  জানোয়ার  বাচ্চারা  ওদের  সবার  ফাঁসি  চাই,2.0
138,বোকাচোদা আমার কমেন্ট টা ভাল করে পড় মাদারচোদ আমিও সেটাই বলেছি যেটা তোদের কোরানে আছে,2.0
139,যত সমাজবিরোধী কাজকর্ম তার ৯০%একটি ধর্মের মানুষরাই করে,2.0
140,হিন্দু যতো দিন খালি নিজের সারথের কথা ভাববে ততোদিন হিন্দু দের ওপর অতাচার হবেশালা  একটি আতঙ্কবাদী  ধর্ম,1.0
141,এই মাদারচেদ ধোন কাঁটা মোল্লার বাচ্চাদের গুষ্ঠি একদিন পুরো মায়ানমারের মতো সাফ হয়ে যাবে জয় শ্রী রাম,2.0
142,মালুর বাচ্চারা এগুলো মানে না এরা খালি বাচ্চা পয়দা করে,1.0
143,তোদের কোনো ধর্ম আছে আকাটা নোমো একজনে ধর্ম লিখে খেছে তা তোরা পালন কর তোদের ধর্মে ভগবান হলো সাপবানরহাতিগরু ধন ছামা ইত্যাদি এখন বল তোদের ধর্ম কি আর মুসলমানের ধর্ম কি নিজে একটু ভাবতোতাই না যেনে কথা বলবি না,2.0
144,তোদের পুজা অফ কর শালা,1.0
145,পূজা লাথি দিয়া নদীতে ফালামো,2.0
146,তোদের মিথ্যা ধর্ম নিয়ে যে বারাবাড়ি করছিস তোরা যে মুর্তিকে পুজো করিস আবার সেই মুর্তিকে পানিতে ফেলচিস  এখনো সময় আছে নিজের বিবেক বুদ্ধি দিয়ে চিন্তা করো কোন ধর্ম বেসি ভালো ইসলামই একমাত্র ইহকাল পরকালের শান্তির ঠিকানা,1.0
147,পুজা বন্দ রাকা হুক,2.0
148,মালাউন পাশের দেশে ঈদের দিন টা প্রচারও করে না আর ঈদের দিন কির্তন ঢাক ঢোল বন্ধ রাখবে কি এরা হলো অশিক্ষিত হিন্দু মৌলবাদী,1.0
149,পুজোর কতটা দিন তোর মাথায় দাড়িয়ে আযান দেয়া হোক,2.0
150,৯৯% মসলিম দেশে বসবাস করে হিন্দুর বাচ্চা বলে কি,1.0
151,মাটিকে মুর্তি বানিয়ে নম নম করিসআবার বেটা বেশি কথা বলিস1,1.0
152,বাংলাদেশে পূজা বন্ধ করে দেয়া হক কারন এটা মুসলিমদের দেশ3,1.0
153,তোদের মাইকের কারনে মসজিদে নামাজ পড়তে কষ্ট হয়+ মানুষ রাত্রে গুমাতে কষ্ট হয় উল্টাপাল্টা পোষ্ট কইরবা জুতা পিটা খাইবা,2.0
154,বাংলার জমিনে পুজা বন্দ হবে মসজিদের মাইক নয়3,1.0
155,মাটির পুতুল বানাইয়া পুজা করে এটা কোন ধম ,1.0
156,পুজোর সময়ে আজান বন্ধ করতে হলে মুসলিম রাষ্ট্র থেকে হিন্দুদের বিতারিত করতে হবে,2.0
157,তুই শালা নাস্তিক হিন্দু,1.0
158,তুই শালা হিন্দু না হিন্দু যাতনা তুই শুয়োরের জাত,1.0
159,হারামি তোদের পুজা বন্ধ কর কাফির মালাউনের জাতএই গুলা এত প্রশয় পায় কিভাবে,1.0
160,তোর পূজা গোয়ায় ঢুকাবো শুওরের বাচ্চা,2.0
161,মামা বাড়ির আবদারএদেশে পুজো করতে পারে এটাই তো বেশী,1.0
162,অই তুই বলিসকি তোদের পুজোর জন্য আমাদের মসজিদের মাইক বন্ধ থাকবে তোদের পুজোই বন্ধ থাকা সালাতোর উপর গজব পরুক সালার বাটা সালা,2.0
163,শালা তোদের মূর্খতার পরিচয় (পূজা) এটাতো করিস নানারকম বাদ্য-বাজনা এবং অশ্লীল গান ধারা এখানে আবার মসজিদের পবিত্র আজানের সাউন্ডের কথা বলছিস ব্লাস্টারের বাচ্চা ব্লাস্টার,1.0
164,তোদের পূজা মন্ডপ ভেঙ্গে দেয়া হোক,2.0
165,পূজা ওদের পাছা দিয়ে ঢুকিয়ে দিবো,2.0
166,আযানের সময় ও নামাজের সময় যে পুজার মন্ডবে মাইকের আওয়াজ শব্দ পাওয়া যাবে সেগুলাকে গুড়িয়ে দিতে হবে,2.0
167,আচ্ছা একটা ব্যাদবতোর মাটি দিয়ে বানানো মূর্তি গুলোকে ভেঙ্গে মাটির সাথে মিশিয়ে দিবনাস্তিকেরর বাচ্চা কোথাকার,2.0
168,বরং তোরা নামাজের সময় পুজাঢোলবাদ্য বন্ধ রাখবি,1.0
169,প্রয়োজনে পূজা বন্ধ হবে মসজিদের মাইক বন্ধ হবে না এই মুসলমানদের দেশে,1.0
170,তোদের পুজো বন্ধ করে দে বেয়াদব শুয়োরের বাচ্চা তোরা তো শুকরের মাংস খাস হালাল হারামের কি বুঝবি শুয়োরের বাচ্চা তোদের দেবদেবী একেকটা বেশ্যার জাত খানকির জাত আমাদের ইসলাম ধর্মে এসব শিরকি কর্মকাণ্ড নেই তোদের তো আমরা ধর্ম পালনে বাধা দেই নি তাহলে তোরা দেস কেন হারামীর বাচ্চা তোদেরকে আসলেই রড পুড়ে তোদের গোপনাঙ্গে ছ্যাকা দেওয়া উচিত,2.0
171,তোদের পৃজাও বন্ধ রাখা হোক,1.0
172,এ ই কুত্তা তোদের পূজা বন্ধ কর তোরা শুয়োরের বাচ্চা কোথা কার1,1.0
173,লোটির বেটা কয়কি সালার মালু চুদি তোর পুজাই বন্দ কর,2.0
174,তোদের পুজা বন্ধ রাখ বেয়াদব1,1.0
175,তর মরার পূজা বন্ধ রাখ তাতে কোন সমস্যা হইব না কিন্তু আমাদের আযান বন্ধ হইলে সমস্যা আছে বুঝলি,1.0
176,পুজো এ দেশ থেকে উঠিয়ে দেওয়া হোক1,1.0
177,তোর পূজা যেন বন্ধ থাকে কখনো মাইক বন্ধ হবে না,2.0
178,সমকামিতা করে হিন্দুরা পরকীয়া করে হিন্দুরা দূর্নীতি করে হিন্দুরা দেশকে বিক্রি করে দিচ্ছে হিন্দুরা দেশে যা কিছু খারাপ হচ্ছে তার সব কিছুর পিছনে জড়িত শুধুই হিন্দুরা,2.0
179,নিজেকে তো খুব ভালো ইমানদার মুসলমান হিসেবে আপনি দাবী করেন একজন ইমানদার মুসলমান যদি এমন পক্ষপাতদুষ্ট হয় তখন আর বাকীদের কথা না ই বা বল্লাম,1.0
180,কিছু মূর্খ মুমিন ধর্ম চোদায় ওয়াজ অনুযায়ী দেশের মানুষ চলে করোনা আল্লাহর সৈনিক মুসলমানদের তো করোনা ডুকার কোনো রাস্তায় নাই আলেমরা বলে,1.0
181,সকল হিন্দুকে সরকারি চাকরি থেকে বাদ দেওয়া হোক,2.0
182,আমি আমার জানামতে বা আমার বিবেকে যাহা উপলব্ধি করতে পারছি তাহল পৃথিবীর মধ্যে একমাত্র নিকৃষ্ট কোনো ধর্ম থাকলে সেটা হচ্ছে হিন্দু ধর্ম,1.0
183,এই মাদ্রাসা ছাপ মূর্খ ভিকারির বাচ্চার দল একটাই জিনিস বুজে- এদের আল্লা তালা বেহেস্তে ৭২ টা লেংটা হুর নিয়া বইশা আছে,1.0
184,কলম দিয়ে অলরেডি সংবিধানে লেখে ফেলছিএখন যদি কোনো মালাউন এটা মুছার চেষ্টা করে তবে তার রক্ত দিয়ে রাস্তা কালার করব,2.0
185,নবীজির অনেক সমস্যা ছিল  আমাদের ইমাম মাহাদীর জন্য ওয়েট করতে হবে ,1.0
186,আমরাই শ্রেষ্ঠ  অন্যেরা কাফের,1.0
187,ফ্রান্স ধ্বংস হবে নবীকে কটুক্তি করার কারনে,2.0
188,যে ভাই এই জানোয়ারের বাচ্চা কে হত্যা করেছে সেই ভাই সমস্ত মুসলিম জাতির সম্মান রক্ষা করেছেন আপনাকে অনেক অনেক ধন্যবাদ ভাইয়া,2.0
189,যার হাতে আমার জীবন মরন তার কসম যেই কাফের আমার নবী কে গালি দিবে আমি নিজে ও তাকে মেরে ফেলব,2.0
190,"তোর জারজ বাপেরাও মক্কার উপর হাত দেয়ার চেষ্টা করেছিল কিন্তু
ধ্বংস হয়ে গেছে  নবীকে নিয়ে কটুক্তি করে তোরাও ধ্বংস হবি",2.0
191,কিরে গরুর মুত খাইতাছস নাতোগো হিন্দুগো মুসলমানরা একটা টুকা দিব তুই জাহান্নামে যাবি,2.0
192,মালাউনের বাচ্ছা মালাউন,1.0
193,শয়তান বেটা আল্লাহ যে ভবনের সামনে মূত্র ত্যাগ করতে আসে সেই ভবনটির অর্ধেক মালিক আমি ও বাকি অর্ধেকের মালিক আমার বন্ধু যার নাম আসলাম খান ,1.0
194,আল্লাহ মরে গেলে সমস্যা নেই কারণ আল্লাহর পুত্র সন্তান পৃথিবী চালাতে পারে,2.0
195,আমি মুসলিম ও আমি psg team সাপোর্ট করি  আল্লাহ শয়তান,2.0
196,আল্লাহর মধ্যে একটু বেশি ভাব রয়েছে কারণ আল্লাহ নিজেকে মাত্রাতিরিক্ত বৃহৎ বলে থাকে ফলে আল্লাহ সহবাস করতে পারে না কারণ আল্লাহ বড় হওয়ায় চিপায় ঢুকতে পারে না ফলে আল্লাহ অতৃপ্ত থেকে যায়  অহংকার করার জন্য বৃহৎ আল্লাহর এই দশা ‌,2.0
