Text,label
রেনডির  বাচ্চারা  ঘরে  মা  এর  সঙ্গে  এমন করস নাকি,1.0
ওকে  গালাগালি দিলে ও রাগ মিটবে না।রাস্তার কুকুর রাস্তায় ভালো শোভা পায়।,1.0
তুই একটা মাগি,1.0
তোর মায়েরে চুদদি কাফেরের বাচ্চা মাসিকের বাচ্চা,2.0
শালা কুত্তার বাচ্চা তুই ধর্ম নিয়ে বাড়াবাড়ি করিস মাগার পোলা,1.0
ইলিয়াস দিয়ে তোর মারে বোইনেরে চুদাইয়া রাখিস,2.0
কারে চুইদা মাতাল হইছে?আরে বোকাচুদি ঢাবির ভিপিরে মাতাল বলিস তোর ১৪ খবর নে?তুই আসলে কোন লেভেলের বোকাচোদা,1.0
খানকিরপোলা মূর্খচোদা তুই অামার হেডার যুদ্ধা।,1.0
ওরে চোদনা,1.0
ওই মালুর বাচ্চা....তুরা তো কাপুরুষের বাচ্চা....তোগো জন্ম দিছে জানুয়ারে..শালা চুদানির বাচ্চা.,1.0
শালা নোটির পুলা....মাল খাওয়া মাগীর পুলা ধন চুষা ভাগীর পুলা.,1.0
ঐবুদার পুলা মরবি না....তর মতো কাফেররে তো কুবাইয়া মারা উচিৎ.....চুদানির পুলা,2.0
তুই একটা কুত্তা,1.0
"তুই একটা পশুর চেয়েও জঘন্য নিকৃষ্ট মানুষ, তুই মানুষ রুপী পশু",1.0
রেফারেন্স চুদে দিয়েছি মিলিয়ে দেখ,1.0
"তুমি  যা  করেছো , তোমায়  কেউ  ভালো  বলবেনা  দাদা 	",
অনেক  বেয়াদপ তুই তোর বংশের পরিচয় আছে,1.0
শালা  ছাগল একটা বলদের বলদ,1.0
ওই  বালটাকে  দেখলেই  আমার  গা  জ্বলে উঠে,1.0
যাদের  রক্তটা খানকির  হয়  তারা  কোনোদিন  ভালো  হয়  না,1.0
খানকি  মাগি ... মূর্খ  চুদি হারামজাদি  ভিকমঙনি  কেরে তুই  পাগলী,1.0
ইন্ডিয়ান  সব  শালা কুত্তা  এরা  বিশ্ব সমাজ  নষ্ট  করার  মূল  কারিগর .,1.0
বোকাচোদা  এই  সব  করছিস  তোদের  জন্য  এরা  আর  রাস্তায়  ঘুরবে  না,1.0
আর   সাকিব গুদমারানি  ভাই  ও  বোকাচোদা . এইরকম  মোটা  হাতির  মতো  খানকিকে   কি  দেখে  বিয়ে  করেছিল,1.0
"এই মহিলা খুব বাজে,,,,,,, বিবেক বুদ্ধি কিছুই নেই, বেইমান,	",1.0
একদম  ঠিক  দাদা  ভিখারির  বাচ্চা  ভিখারি   থাকে  জুতো  খুলে  মারুন,2.0
"যেমন  মেয়ে  তেমন  মা , আই  হেট রানু  মন্ডল , ফালতু  অকৃতজ্ঞ  মহিলা 😟	",1.0
অই মাগিকে লাথি মার সহ্য হচ্ছে না আর,2.0
খানকির  ছেলেদের  মতো  পাবলিক  ছি 🤮🤮,1.0
শালা  বাটপার  বলস  একটা  দেখাস  আরেকটা,1.0
ধরে  বাড়া  গুদমারানি  ভাই  রানু  মন্ডল আর  রানু  মন্ডল  খানকি  মাগি  বালের  ভিডিও  পাগলাচোদা,1.0
সালা  ভিডিওটা  দেখে  আমার  রক্ত  গরম হয়  গেল  .... কুলাঙ্গার  ভাই  বোন  ..😠😠😠,1.0
খানকি  তুমি  যেখান  থেকে  এসেছো  চলে  যাবে  খুব  তাড়াতাড়ি 🙏🙏🙏🙏ওরা  ভিখারি  তো  তুই  কি  ছিলিরে  বল  আগে,2.0
টাকা পেলে মানুষ কতটা বদলে যেতে পারে রানা মন্ডল বলেচে তার জুতা দিয়া পিটানো দরকার,2.0
ভালো   কিছু  দেখা  শালা কি দেখাস তোরা এইসব বালসাল.,1.0
শালা তোদেরকে  বোকাচোদা  ছাড়া  কিছু  বলবোনা,1.0
কিছু  বলার  নেই ...এরকম  খানকি  মাগী  আমি  আগেই  দেখি  নাই ...কি  রেন্ডি  মাগীরে,1.0
এই  ফাজিলটা  হাহাহা  দিলো  কেন ... বেয়াদ্দপ কোথাকার,1.0
"এইগুলা  জারজ  এইরকম  অনেক  ছেলে  দেশে  আছে . ভারতপ্রেমী , কিন্তু  এই  দেশের  খাই .",1.0
আপনার  ঘাড়ে  চুলকানিটা একটু  বেশি  বাড়া  ১০ টাকা  নেয়া  চুদতে  গেছো  গান্ডু  ...,1.0
কোনো  যে  ফাঁসি  হয়  না .. কিছু  আর  বলতে  পারছিনা . আর  আপনারা  কোনো  কিছুই   আর  করছেন  না,2.0
"মাদারচোদ  রানু  মণ্ডল 	খানকি মাগি, ভিকারির বাচচা	",1.0
রানুর  পাছায়  লাথি  মেরে  রানাঘাট  স্টেশন  পাঠান 	সালা ভিখারি তোর এতো অহংকার,2.0
বালটাকে  লাথি  মেরে  ফেলে  দে .. বাড়া .. বালের  সেলিব্রিটি  😡😠,2.0
"শালা  তোদের  চ্যানেল এর  উপর রিপোর্ট  করা  উচিত  , শালা  এসব  বাজে  শো  দেখানোর   জন্য",2.0
এই মাদার চোদ নায়ক নামে কলঙ্ক... এই ছাগল টাকে পাবনা থেকে ছাড়ছে কবে.....,1.0
কুত্তী রাস্তায় রাস্তায় ঘুরবে আর বেশি দিন নয়,2.0
ওরে  মাগি  তোর  আবার  ভিক্ষা  করতে  হবে,2.0
খানকি  মাগি  তোর  মুখে  জুতো  শালী  হারামি  সবাই  জানে  তুই  একটা  গাদ্দার,1.0
তোর  ঘাড় এ লাথি  মারি  কুত্তী শালী,2.0
রানু দি তোমার টাইম খুব খারাব কুত্তার বাচ্ছা রানু 😡😡😡😡😡,2.0
তুই  হলি  স্টেশনের  ভিখারি  শালা  পাগল,1.0
কে এই নোবেল? পাবনা মানসিক হাসপাতালে অবিলম্বে যোগাযোগ করার জন্য বিনীত অনুরোধ করা হলো,1.0
শালা আবলামী কর?শহীদ মানে বুঝো? ইতিহাসের প্র‍থম যিনি অন্য ধর্মের জন্য শহীদ হলেন তাই না? এইসব বালের বয়ান বন্ধ কর,1.0
খানকি  মাগীর  ঠিক  হয়েছে বেশ হয়েছে মাগীর জাত......,1.0
এই মহিলাটা খুব লোভী--,1.0
খান্কী মাগি কে জুতো খুলে মারা,2.0
আমানুষের বাচ্ছা দয়া মায়া নাই একদম,1.0
মাদারচোদ আস্ত খানকি মাগি তুই,1.0
অনুদীপ  বোকাচোদার বাচ্চা বেয়াক্কল এর মতন কাজ করলি,1.0
ফকিরন্নির আবার তলবিছানা ফকিন্নি ফকিন্নি থাকবে,2.0
"রানু একটা মাগি,, ওর কথায় ওর পরিচয়,, এই মাগির মাথায় থু দেওয়া উচিত	",2.0
সত্যি  একদম কি  চুতিয়া  মহিলা,1.0
ও  শালা পাক্কা  খানকি বুড়িকে চুদলি,1.0
খানকির  বাচ্চা  এই  সব  দেখানো  উচিত  নয়,1.0
রানু  মন্ডল  খাঁটি  গিরগিটি  শালী  দেখলে  শরীল জ্বলে মূর্খ,1.0
"শালা বালের  সিঙ্গার  ,ডাস্টবিন এর  মাল  ডাস্টবিন  এই  রাখা  উচিত ,",2.0
সৃজিতকে  দেখলেই  মনে  হয়  খারাপ  মানুষ,1.0
এত বড় বেইমান ওর গান শোনা তো দূরের কথা মুখ দেখাও পাপ।,1.0
তুই তো খানকি মাগি টাকার মুখ দেখেছিস তাই জন্য এতো গরম,1.0
কিরে শুয়োরের বাচ্চা বল,1.0
তকে কুত্তায় চোদে জন্ম দিছে মাদার চোদ,1.0
বেজন্ম খানকির মাগির বাচ্চা তুই,1.0
শুয়ারের বাচ্চা যে তরা তাই,
মাল্লুর বাচ্চা অপেক্ষা কর,2.0
মালাউনের বাচ্চা জুতা  দিয়ে মারবো তরে,2.0
আয় তোর মায়ের কালা বালওয়ালা ভোদাটায় কুত্তাচোদন মাইরা আসি।,2.0
"খানকি মাগীর পোলারা হেঁদু পাঠা, তোদের বাড়ী ঘর পুড়ামু, তোদের গুষ্টী কুত্তা দিয়া চোদামু।",2.0
"তোর মায়ের হোগায় জ্বালা ধরছে নাকি তোর হোগায়,, শালা বাইনচোদ, রেন্ডিকা হান্দা,",1.0
তোর চ্যানেলটা ঘুরে দেখলাম। তুই যে বেইস্যা মালাউন তাতে কোনো সন্দেহ নাই।,1.0
মাখি তোর হেডা দিয়ে বাশ দিমু,2.0
"নগ্ন নেতা 😬 আসলেই তোর জন্মের ঠিক নাই, তুই একটা জারজ সন্তান।",1.0
নগ্ন নেতা মাদারচোদ খাংকির পোলা,1.0
আমাদের জন্য কি কোন ডিসিশন নেওয়া হবে না? বালের প্রশাসন,1.0
বালামার যতবারই ক্লিক করি ভুল জায়গায় ক্লিক পরে,1.0
এই বালের জিনিস বারবার পাঠাস না তোর বিরক্ত লাগতেছে,1.0
তুই আমার কোন চ্যাটের বাল যে তোরে আমি ভয় পামু,1.0
চ্যাটের বালের একটা কম্পিউটার কিনছে না আছে ভালো র‍্যাম না আছে ভালো গ্রাফিক্স,1.0
কুত্তার বাচ্চা শুয়োরের বাচ্চা তোর মারে চূদি,2.0
হালার ঘরে হালা তোর কি কোনো কমনসেন্স নাই যে যেখানে সেখানে আজাইরা কথা বলে বসস,1.0
শুয়োরের বাচ্চার কাজটা দেখছো কত লাখ লাখ টাকা মাইরা পালাইয়া গেল,1.0
ওরে তো আমি ভালো ভাবছিলাম কিন্তু ওয়তো একটা মাদারচোদ,1.0
শালা খানকিমাগী তোর ভোদায় কে আগুন লাগছে রে চুইদা খাল বানায় দিব,2.0
আমাগো লগে কেমনে চলবো? আমাগো কি ভোঁদা আছে? হয় ভোঁদা ছাড়া চলেনা,1.0
"গু খাইছছ, বেশ্ব্যার ছেলে।",1.0
তুই শুয়রের বাচ্চা,1.0
"মাদারচোদ একটা, তোর খাই না তোর পরি?",1.0
এই হালার ভাই তুই আমারে বলার কে রে,1.0
খানকিমাগী রে ফালাইয়া চুদ,2.0
তোর পুলিশের মারে ছোদি তোরা খানকির পোযা,2.0
তোর মাকে চুদে দেব শুয়োরের বাচ্চা,2.0
কুত্তার বাচ্চা চুদে সপরিবারের গুদ ফাটিয়ে দেব,2.0
মিডিয়া খানকির ছেলেরাই খারাপ।।😡😠মিডিয়া তুই চুতিয়া।,1.0
ধিক্কার জানাই মাদারচোদ কে,1.0
তোর মা তাহলে বেশ্যা,1.0
কথা শুনলে আমার নোনু ভাল খারাই জা,1.0
আরে হিন্দু খানকির পোলা কথা কম বল,1.0
তুরো আবালচোদা এইটা আমাদের বাংলাদেশে না। এইটা কোলকাতায়। জত্যসব পাগল এর দল না বুজেই কমেন্ট করে।।,1.0
ধুর হ হারামজাদা জুতা মারল কি।ইয়ারকি মারো,2.0
বালের গান টা শুনলেই গা জ্বলে,1.0
ধুর খানকি পরিচালক একটা রাম ছাগল,1.0
"ওর,মতো,অশিক্ষিত মহিলা কে,সেলিব্রিটি বলতে,মনে,কষ্ট হয় ।",1.0
শালা খানকি মাগী এ  পাগলী  কি  বলে,1.0
খানকির  ছেলে  গুলো  একটুও  মায়া হলোনা  তোদের,1.0
এসব  খানকি  সমাজে  টিকলে  ভালো  মেয়েরা  হাম্পের  হবে,1.0
মেয়েটাকে  এইভাবে  মারলি  খানকির  ছেলেরা  শালা পা  ছিঁড়ে ফেলে  মারলি  শালা  শুয়োর এর  বাচ্চা .,1.0
ছাগলের বাচ্চা ছাগলামি করার জায়গা পাও না,1.0
"ওর চেহারা ও দাঁতগুলো দেখলে তিন দিন ধরে খেতে পারি না,,এত নোংরা কেন ওর মুখ	",1.0
ওর নাম নিতেও ঘৃণা লাগছে ওকে ঘুরে ভিখারী বানিয়ে ছেড়ে দও,2.0
সত্যি  মাদারচোদ  মাগি এমন ভাওতাবাজি এ করে ইতারা,1.0
তুই  তো  দালাল  দালালি করস ওদের,1.0
গুদমারানির বাচ্চাদের শেষ পর্যন্ত কি হল,1.0
রানু  মন্ডল  তোর  গুষ্টিরে  চুদি  যা  ভিক্ষা  কর  পাগল  ছাগল  রানু  মন্ডল,2.0
এই সাজেদা তুই একটি মাগি বেশ্যা অপু মাগি নয়।তুই একটি খানকি,1.0
আবে গুদমারানি তুই জা প্লাটফর্মে গিয়ে চোদা,1.0
আমার  বালের  গায়িকা তুই তোর গলায় গান শুনলে কাউয়া হেগে দিবে .,1.0
বাহ চুদিরভাই বাহ আর কোন ভিডিও পেলি না এসব করে কি ফল,1.0
শালা কুকুর তোকে বলতে হয়েছে নাকি তুই কেন বলছিস,1.0
এখন এখন সেই বেজন্মা জারজ সন্তান বেশ্যা মাগির ছেলেরা কোথায় কমেন্ট করবি না,1.0
অসভ্য এর যদি প্রকার হয়।তার এক নাম্বার এ থাকবে শাওন। সমাজের সবার উচিত শাওনএর গালে একবার করে একটা করে জুতা মারা।,2.0
শাওন তুই একটা ফালতু় মেয়ে,1.0
"ফালতু মহিলা😡😡😡,এইটা নাকি গুলকেতিনের দোষ,,বদমায়েশ মহিলা,অন্যর স্বামীর দিকে নজর দিয়ে নিজেকে মহা প্রেমিকা ভাবতেছে",1.0
নষ্ট মহিলা তোর ছেলে যে শাকিবের এটাই সত্য,1.0
ফালতু  চোদা  মাগীর জাত তোদের এমনই হওয়া উচিত,2.0
শুয়োরের  বাচ্চা  তোর  গড়া  উকুন  ধরবে বাইনচোদ  ভিখারি  চোদার  বাল  তোর  পর্দা  গন্ধ  বাইনচোদ,2.0
আরে এরা তো  জেনেটিকালি  ছেচড়া,1.0
ওরে দেখলেই  ঘৃণা  লাগে  আবার  ওরর  গান  শুনবো ??? কখনো  না,1.0
খানকির  ছেলে  তোরা  তো  বাবা আর মাকে চুদিস  আবার  বোনকে  বিয়ে  করিস  তোদের বাল  কি  বোঝাবো,1.0
ও শালা  শুয়োরের বাচ্চা খানকির বাচ্চা মাগির বাচ্চা শালা হিজরা,1.0
এই শালা ভিখারি  আসল  ভিখারি  বানায়া দাও,1.0
ফকিরন্নি   মহিলা ফকিন্নির জাত এদের জন্য যত সমস্যা,1.0
এই  শালী  অরিজিনাল  ভিখারির বাচ্চা,1.0
কুত্তার  কথা  শুনলে  জুটিতে  ইচ্ছা  হয় ....হালার  গান  এক  বারই   শুনেছি .....,1.0
তোর  পোঁদে  মূল আর  গাজার ঢুকানো  দরকার,2.0
বা বা বাহ্ কত্তার বাচ্ছা বাহ্,1.0
শালীকে  জুতো খুলে মারতে  ইচ্ছা  করে  ভাইয়া,2.0
খানকির  ছেলে  ওকে  বলার  আগে  তুই  সব  চেয়ে  বড় খানকির ছেলে .. শুয়োরের  বাচ্চা  নিজে  তো গেছিস  থাপড়ানোর  জন্য .. অপেক্ষা  কর  রিপোর্ট  মারছি ..,2.0
আগে  বাড়া  বানান  ঠিক  করে  লেখ মারানি  শালা অশিক্ষিত .আর  লজ্জা  থাকলে  কমেন্টস  করিস  না  আমায়  .,2.0
আমার  আগে  ভালো  লাগতো  বাট এখন  মুখ  দেখলে মাথা  গরম  হয়ে  যাই,1.0
রানু মন্ডল এর  নাম  শুনলে  বমি  উঠে  আসে,1.0
ভিখারি  মাগীর  বেশি  কথা .এইসব  মাগিদের বেশি  মাথায়  ওঠালে  এটাই  হবে,1.0
সে  একটা  ভিখারি  সে  তাই  থাকবে  ছোটলোক,1.0
বড় জায়গায় রেল লাইনে অপেক্ষা করতাছে মাগি চোদ্দার,2.0
"ওর মুখে সবাই জুতো নয়, গু ছুড়ে মারবে।",2.0
এই  হলো  আমাদের  দেশের  খানকি  মাগি  এদের মোট মাগিতে দেশ ভরে গেছে,1.0
রানু  মাগীর  বাঁচা  😠😠😠😠😠শালীর  গান  শুনলে  গা  জ্বলে,1.0
ওটা রানু মন্ডল না ওটা হচ্ছে গু গুসান দাস বাথরুম পায়খানা মন্ডল,1.0
এই ফকির নটির মুখে থু থু দিলাম সালা মাগি নেমক হারাম,1.0
খানকি  মহিলা  তুই  তো  দেখি  এখনো  ভিখারি  ই  আছিস,1.0
তোরা  জেল  এ  মর  বেটিচোদ  আর  তোদের পরিবার  গুলা  নিজের  ইচ্ছাই  তোদের  মতো  কাজ  করবে,2.0
তুই  একটা  গুদমারানি  গরিবের  মজা  নিচ্ছিস  শালা শুয়োরের বাচ্চা ......,1.0
"বাইঞ্চোদ মুখ  গুলো  ব্লার কর ,, নাহলে  দেখবি  খুঁজতে  খুঁজতে  তোর  বোন  বেরিয়ে  গেছে...	",1.0
খানকির  ছেলে  তোর  মাকে  লাগা  যা শালা  কুত্তা  চোদা,2.0
ওকে  কোনো  কম্যান্ড  না  করে  সোজা  ওর  মুখে  জুতা  মারা  উচিত ছিল,2.0
তুই মাগি বর ভিক্ষারি বুঝলি তুই আবার পর কে ভিক্ষারি বলছিস,1.0
তোরা শালা যার  খাবে  যার  পড়বে তার  নামেই  বদনাম  করবে  বেঈমান  কোথাকার,1.0
রানুর মতো ফালতু মেয়ে নাই  ওর নাম নিলে বমি আসে চোরের মায়ের বড় গলা,1.0
শালার ফকিরের বাচ্চা ফকির রাস্তায় মর,1.0
বোকাসোদা ভালো  ভিডিও  বানাও মাদারচোদ,1.0
বোকাচোদা  কেন  গিয়েছিস তোর মায়ের সাধ্য নাকি রে ভক্সদ,1.0
তুমি বড় বাল হয়ে গেছো... তুই আবার ভিক্ষায় করবি চিন্তা করিস না...বেয়িদব মহিলা তোর প্রচুর হিংসা আর অহংকার।,1.0
সে তো একটা বদ্ধ উন্মাদ পাগল হয়ে গেছে,1.0
এই হারামজাদারা শালা দুনিয়াতে এটাই সম্পর্ক ছিল ছি ছি দুনিয়াতে এটাও সম্ভব,
এই  খানকির  পোলায়  তো  লাইফ  এর  ১২  টা  বাজাইসে,1.0
মাদারচোদ  কুত্তা সব কয়টা মাদারচোদ এর বাচ্চা,1.0
তুই তো কুত্তা  আর মানুষ জানে কুত্তার পেটে ঘি সয়না আস্তা মাগি,1.0
"খানকির  ছেলে  বাপের  ঠিক  নাই , তার  আবার বড়  বড়  কথা ,",1.0
যে  গল্প  তাকে  রিপ্রেসেন্ট  করছে  এই  লোকটার  কথা  বলার  স্টাইলটা  জাস্ট  জঘন্য ...একটুও  ভালো  লাগেনা,1.0
সে তো একটা খয়রাতির বাচ্চা ভিক্ষা খুঁজা মাগীর জাত,1.0
"আর  সহ্য  হচ্ছে  না  দাদাভাই . এই  রাস্তার  কুকুরটার  এতো  বার , সহ্য  হচ্ছেই  না",1.0
এই মেয়ে টা অনেক বেয়াদব । এইরকম বেয়াদ্দপ দেখি নাই,1.0
মাগি আগে কথা বলা শেখ তার পর ভিডিও বানাইস,1.0
মাগি  চুদি  একদম  খানকি  মাল চুতমারানি,1.0
ওর  গান  শুনলে  গা  জ্বলা যাই   ওকে   সহ্যই  হয়  না  শালা  বেইমান,1.0
খানকির ছেলে অভাবে যারা কাজ করে তাদের খেতে তো দিবি না তাদের সম্মান নষ্ট করছিস মা চোদাতে??,1.0
কোন পতিতালয়র পড়াশোনা করেছিস খানকি!,1.0
"এ প্রথম বেইনচুত প্রমাণিত মুসলিম দেখলাম। মস্তবড় আসুদা উপ্তা গাধা, আমি পাইলে কাছে ওটার পুটকি দিয়া লাঠি ঢুকিয়ে দিয়ে বলতাম, বড় নুনু চুটো ধনে close হলে এরকম লাগবে।তর কিরকম লাগছে?",2.0
"তোর ভোদায়,,,,১০০ টা বেড়ার ধোন ঢুকাবো,,,,তখন বলবো তোর কাছে কী রকম লাগছে!!!",2.0
শালীর বেটি রে কুত্তা দিয়া চুদামু,2.0
শালার ভাইরে শুয়োর দিয়া চুদামু,2.0
আই কুট্টার বাসা নোটির পুয়া গর্ডোবর বাসা,1.0
লোপা তোকে ঘোরার নুনুর মোত লোহার ১ টা বানিয়া গরম করে মানে লাল করে ডোকাদিলে আরাম পায়বা,2.0
"সালীর ভেদার ভিতর গরম ডিম দিতে হবে ধরে,,,,সালী জন্ম পাট ক্ষেতে ছইছে আমার মনে হয়",2.0
মুত খোর রামের বোদা চেটে চেটে খেতে খেতে কাহিল হয়ে পড়েছে,1.0
খানকির বাচ্চা,1.0
এ-ই সরকার দেশের গোয়াটাই মেরে দিচ্ছে।,1.0
এই শালী তো নর্তকী। যত এমপি-মন্ত্রী আছে সবার নিচে সোয়া দিছে।,1.0
মন ডা চায় এক সাথে সব দুর্নিতি বাজদের গুষ্টি চুইদা দেই,2.0
"আমার শাউয়ার দেশ ""!",1.0
নিজে নিজে পুটকি মারা মারি কর।,2.0
তোইত মাদার চুদ,1.0
হারামির বাচ্চা,1.0
হারামখোর,1.0
খাঙ্কিরপোলা,1.0
চোদনা শালা,1.0
চুদির ভাই,1.0
তর মায়রে বাপ,2.0
শালার পো শালা,1.0
হুমুন্দির পুত,1.0
মাঙ্গির পুত,1.0
নাটকির পো,1.0
ল্যাউড়ার পুত,1.0
"হাউয়ার পো , হাউয়ার নাতি",1.0
চুদানির পো,1.0
ভুদার বেটা,1.0
"লটির পো , লটির বেটা",1.0
ভেড়াচ্চোদা,
মাউড়া চোদা,1.0
গুয়ার ভিতরে / হোগার ভিতরে ভইড়া দিমু,2.0
হালা ল্যাওড়া চোদা,1.0
"কুত্তাচোদা , বানচোত",1.0
তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু,2.0
বালি দিয়া চুদমু তরে খাঙ্কি মাগী!,2.0
বাল ফালায়া খালে নামানো,2.0
বাল ফালায়া আটিঁ বান্ধা,2.0
বালে বালে গিট্টু ভোদাই,1.0
ভোদার বাল ধোনের বাল,1.0
নটি মাগির পোলা,1.0
গুদের বাল মাইগ্যা,1.0
বেশ্যা মাগী বাল ফালাইয়া আটি বান,1.0
পুকটি মারা খা গাড় মারা খা,2.0
ভইরা দিমু মাঙ্গের পোলা,2.0
উপ্তা কইরা চুদমু চুদনা মাগী,2.0
ভাতার চুদা গোস্তের লাঠি সাটামু,2.0
লেওরা চুতমারানীর পোলা,1.0
তর মায়েরে চিচিং ফাক,2.0
পুটকিতে বাশ দিমু আবাল চোদা।,2.0
গুদির ব্যাটা ল্যাদানী,1.0
হোগা চাটা মাদার চোদ,1.0
হোল টাইনা পুকটিতে ভর,1.0
বোকা আচোদা (যাদের বোকারাও চোদে না),1.0
খবিশ চোদা (যাদের শুধু খবিশরা চোদে),1.0
তর ভোদায় বিলাই হ্যাচড়া (একধরনের কাটাযুক্ত লম্বা শীষ),1.0
"তর হোগায় ইনপুট, তর মায়ের ভোদায় আউটপুট।",2.0
তর মায়ের ভোদা বোম্বাই মরিচ দিয়া চুদামু।,2.0
তর বাপের পুটকির ফুটা দিয়া কাডল ঢুকামু।,2.0
